"",BBK01.OEXO02P,BBK01.OEXO02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:48,
2002-01,0.078,
2002-04,0.073,
2002-07,0.067,
2002-10,0.073,
2003-01,0.084,
2003-04,0.087,
2003-07,0.148,
2003-10,0.070,
2004-01,0.085,
2004-04,0.066,
2004-07,0.066,
2004-10,0.084,
2005-01,0.100,
2005-04,0.080,
2005-07,0.106,
2005-10,0.111,
2006-01,0.111,
2006-04,0.106,
2006-07,0.099,
2006-10,0.104,
2007-01,0.172,
2007-04,0.132,
2007-07,0.150,
2007-10,0.178,
2008-01,0.180,
2008-04,0.132,
2008-07,0.174,
2008-10,0.287,
2009-01,0.147,
2009-04,0.113,
2009-07,0.137,
2009-10,0.137,
2010-01,0.110,
2010-04,0.092,
2010-07,0.104,
2010-10,0.181,
2011-01,0.190,
2011-04,0.102,
2011-07,0.097,
2011-10,0.096,
2012-01,0.107,
2012-04,0.079,
2012-07,0.084,
2012-10,0.068,
2013-01,0.076,
2013-04,0.053,
2013-07,0.050,
2013-10,0.060,
2014-01,0.049,
2014-04,0.043,
2014-07,0.085,
