"",BBK01.OEBJ03O,BBK01.OEBJ03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:19,
2002-01,-5.792,
2002-04,-5.699,
2002-07,-5.595,
2002-10,-5.646,
2003-01,-6.175,
2003-04,-6.718,
2003-07,-5.905,
2003-10,-5.985,
2004-01,-6.134,
2004-04,-6.703,
2004-07,-6.870,
2004-10,-6.455,
2005-01,1.121,
2005-04,1.096,
2005-07,1.152,
2005-10,1.078,
2006-01,0.961,
2006-04,0.934,
2006-07,1.233,
2006-10,1.324,
2007-01,1.141,
2007-04,1.256,
2007-07,1.418,
2007-10,1.595,
2008-01,1.546,
2008-04,1.507,
2008-07,1.769,
2008-10,1.787,
2009-01,2.102,
2009-04,2.114,
2009-07,2.228,
2009-10,2.329,
2010-01,1.981,
2010-04,1.972,
2010-07,1.608,
2010-10,1.571,
2011-01,1.560,
2011-04,1.704,
2011-07,1.531,
2011-10,1.448,
2012-01,1.382,
2012-04,1.354,
2012-07,1.536,
2012-10,1.531,
2013-01,1.261,
2013-04,1.494,
2013-07,1.435,
2013-10,1.627,
2014-01,1.423,
2014-04,1.265,
2014-07,1.232,
