"",BBK01.OEAH40V,BBK01.OEAH40V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:32:00,
2002-01,0.038,
2002-04,0.038,
2002-07,0.036,
2002-10,0.039,
2003-01,0.047,
2003-04,0.047,
2003-07,0.055,
2003-10,0.062,
2004-01,0.078,
2004-04,0.073,
2004-07,0.073,
2004-10,0.073,
2005-01,0.108,
2005-04,0.114,
2005-07,0.111,
2005-10,0.097,
2006-01,0.077,
2006-04,0.080,
2006-07,0.080,
2006-10,0.071,
2007-01,0.068,
2007-04,0.067,
2007-07,0.066,
2007-10,0.062,
2008-01,0.072,
2008-04,0.071,
2008-07,0.071,
2008-10,0.074,
2009-01,0.108,
2009-04,0.114,
2009-07,0.139,
2009-10,0.164,
2010-01,0.191,
2010-04,0.205,
2010-07,0.222,
2010-10,0.171,
2011-01,0.169,
2011-04,0.161,
2011-07,0.135,
2011-10,0.113,
2012-01,0.124,
2012-04,0.126,
2012-07,0.145,
2012-10,0.169,
2013-01,0.150,
2013-04,0.164,
2013-07,0.161,
2013-10,0.160,
2014-01,0.253,
2014-04,0.189,
2014-07,0.221,
