"",BBK01.OEBI03T,BBK01.OEBI03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:29,
2002-01,1.239,
2002-04,1.184,
2002-07,1.129,
2002-10,0.957,
2003-01,0.895,
2003-04,0.821,
2003-07,0.786,
2003-10,0.750,
2004-01,0.711,
2004-04,0.620,
2004-07,0.625,
2004-10,0.708,
2005-01,0.772,
2005-04,0.752,
2005-07,0.658,
2005-10,0.869,
2006-01,0.908,
2006-04,0.863,
2006-07,1.087,
2006-10,1.443,
2007-01,1.355,
2007-04,1.433,
2007-07,1.767,
2007-10,1.572,
2008-01,1.560,
2008-04,1.906,
2008-07,2.053,
2008-10,1.624,
2009-01,1.029,
2009-04,0.875,
2009-07,0.725,
2009-10,0.614,
2010-01,0.555,
2010-04,0.540,
2010-07,0.531,
2010-10,0.551,
2011-01,0.517,
2011-04,0.599,
2011-07,0.649,
2011-10,1.071,
2012-01,1.251,
2012-04,1.358,
2012-07,1.408,
2012-10,1.344,
2013-01,1.662,
2013-04,1.340,
2013-07,1.305,
2013-10,1.200,
2014-01,1.358,
2014-04,1.522,
2014-07,1.367,
