"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.U3.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.U3.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / EU member states not belonging to the Euro area / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:14,
2009-09,4665,
2009-10,4748,
2009-11,4519,
2009-12,4922,
2010-01,4527,
2010-02,4538,
2010-03,4839,
2010-04,4812,
2010-05,4621,
2010-06,4710,
2010-07,4701,
2010-08,4773,
2010-09,5037,
2010-10,5152,
2010-11,5025,
2010-12,5118,
2011-01,4735,
2011-02,4705,
2011-03,4683,
2011-04,4634,
2011-05,4669,
2011-06,4580,
2011-07,4457,
2011-08,4404,
2011-09,4296,
2011-10,3561,
2011-11,3965,
2011-12,4032,
2012-01,4290,
2012-02,4439,
2012-03,4493,
2012-04,4462,
2012-05,4428,
2012-06,4623,
2012-07,4826,
2012-08,4666,
2012-09,4530,
2012-10,4277,
2012-11,4294,
2012-12,4493,
2013-01,3876,
2013-02,3795,
2013-03,4007,
2013-04,3892,
2013-05,3821,
2013-06,3654,
2013-07,3765,
2013-08,3796,
2013-09,3950,
2013-10,4001,
2013-11,4020,
2013-12,3918,
2014-01,3607,
2014-02,3600,
2014-03,3581,
2014-04,3438,
2014-05,3457,
2014-06,3558,
2014-07,3426,
2014-08,3628,
2014-09,3768,
2014-10,3829,
2014-11,3910,
