"",BBK01.CEL30N,BBK01.CEL30N_FLAGS
"",Debt securities                                  debtor: Total            creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:59,
1999-01,39.5,
1999-04,31.5,
1999-07,47.6,
1999-10,31.3,
2000-01,4.8,
2000-04,40.0,
2000-07,19.4,
2000-10,10.7,
2001-01,6.3,
2001-04,13.4,
2001-07,25.2,
2001-10,24.2,
2002-01,23.2,
2002-04,46.6,
2002-07,42.0,
2002-10,3.2,
2003-01,41.2,
2003-04,32.4,
2003-07,-4.9,
2003-10,10.7,
2004-01,48.7,
2004-04,19.7,
2004-07,43.3,
2004-10,14.1,
2005-01,52.6,
2005-04,62.8,
2005-07,26.5,
2005-10,16.0,
2006-01,56.8,
2006-04,52.2,
2006-07,4.1,
2006-10,28.3,
2007-01,17.3,
2007-04,59.6,
2007-07,-24.0,
2007-10,38.4,
2008-01,7.4,
2008-04,46.3,
2008-07,27.1,
2008-10,-10.2,
2009-01,-24.2,
2009-04,35.4,
2009-07,-31.0,
2009-10,0.0,
2010-01,41.0,
2010-04,0.1,
2010-07,-13.6,
2010-10,23.5,
2011-01,22.1,
2011-04,26.7,
2011-07,33.7,
2011-10,-10.8,
2012-01,-2.4,
2012-04,39.1,
2012-07,-1.5,
2012-10,-8.1,
2013-01,13.1,
2013-04,-29.1,
2013-07,-23.8,
2013-10,-27.3,
2014-01,4.0,
2014-04,3.9,
2014-07,23.8,
