"",BBK01.OEXM04I,BBK01.OEXM04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:49,
2002-01,0.201,
2002-04,0.155,
2002-07,0.147,
2002-10,0.260,
2003-01,0.467,
2003-04,0.455,
2003-07,0.464,
2003-10,0.608,
2004-01,0.663,
2004-04,0.677,
2004-07,1.149,
2004-10,1.144,
2005-01,0.827,
2005-04,0.633,
2005-07,0.555,
2005-10,0.562,
2006-01,0.472,
2006-04,0.377,
2006-07,0.536,
2006-10,0.576,
2007-01,0.608,
2007-04,0.428,
2007-07,0.713,
2007-10,0.761,
2008-01,0.577,
2008-04,0.609,
2008-07,0.524,
2008-10,0.327,
2009-01,0.107,
2009-04,0.082,
2009-07,0.032,
2009-10,0.045,
2010-01,0.112,
2010-04,0.299,
2010-07,0.373,
2010-10,0.536,
2011-01,0.669,
2011-04,0.917,
2011-07,1.103,
2011-10,1.328,
2012-01,1.376,
2012-04,2.112,
2012-07,2.731,
2012-10,2.926,
2013-01,4.412,
2013-04,4.459,
2013-07,4.680,
2013-10,4.782,
2014-01,4.602,
2014-04,4.507,
2014-07,3.993,
