"",BBK01.OEAH36G,BBK01.OEAH36G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:19,
2002-01,1.877,
2002-04,1.848,
2002-07,1.786,
2002-10,1.727,
2003-01,1.712,
2003-04,1.749,
2003-07,1.694,
2003-10,1.635,
2004-01,1.574,
2004-04,1.618,
2004-07,1.621,
2004-10,1.704,
2005-01,1.788,
2005-04,1.944,
2005-07,1.926,
2005-10,1.926,
2006-01,1.937,
2006-04,1.952,
2006-07,1.996,
2006-10,1.980,
2007-01,1.891,
2007-04,1.862,
2007-07,1.800,
2007-10,1.785,
2008-01,1.890,
2008-04,1.884,
2008-07,1.877,
2008-10,1.971,
2009-01,1.921,
2009-04,1.856,
2009-07,1.948,
2009-10,2.154,
2010-01,2.032,
2010-04,1.988,
2010-07,2.014,
2010-10,2.077,
2011-01,1.790,
2011-04,1.808,
2011-07,1.748,
2011-10,1.815,
2012-01,1.705,
2012-04,1.640,
2012-07,1.626,
2012-10,1.755,
2013-01,1.694,
2013-04,1.620,
2013-07,1.598,
2013-10,1.716,
2014-01,1.667,
2014-04,1.455,
2014-07,1.424,
