"",BBK01.OEAE22P,BBK01.OEAE22P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:11,
2002-01,0.090,
2002-04,0.085,
2002-07,0.083,
2002-10,0.072,
2003-01,0.076,
2003-04,0.073,
2003-07,0.081,
2003-10,0.108,
2004-01,0.106,
2004-04,0.125,
2004-07,0.127,
2004-10,0.119,
2005-01,0.120,
2005-04,0.124,
2005-07,0.111,
2005-10,0.108,
2006-01,0.125,
2006-04,0.129,
2006-07,0.136,
2006-10,0.151,
2007-01,0.148,
2007-04,0.139,
2007-07,0.122,
2007-10,0.122,
2008-01,0.123,
2008-04,0.126,
2008-07,0.126,
2008-10,0.124,
2009-01,0.047,
2009-04,0.054,
2009-07,0.058,
2009-10,0.047,
2010-01,0.058,
2010-04,0.031,
2010-07,0.044,
2010-10,0.048,
2011-01,0.044,
2011-04,0.053,
2011-07,0.077,
2011-10,0.066,
2012-01,0.070,
2012-04,0.067,
2012-07,0.066,
2012-10,0.068,
2013-01,0.083,
2013-04,0.080,
2013-07,0.101,
2013-10,0.099,
2014-01,0.094,
2014-04,0.093,
2014-07,0.094,
