"",BBK01.OEAC31V,BBK01.OEAC31V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:56,
2002-01,2.563,
2002-04,2.525,
2002-07,2.500,
2002-10,2.529,
2003-01,2.436,
2003-04,2.303,
2003-07,2.237,
2003-10,2.306,
2004-01,2.353,
2004-04,2.461,
2004-07,2.520,
2004-10,2.363,
2005-01,2.358,
2005-04,2.261,
2005-07,2.054,
2005-10,1.981,
2006-01,1.900,
2006-04,1.917,
2006-07,1.994,
2006-10,2.141,
2007-01,2.062,
2007-04,2.028,
2007-07,1.976,
2007-10,1.994,
2008-01,1.913,
2008-04,1.598,
2008-07,1.665,
2008-10,1.583,
2009-01,1.602,
2009-04,1.911,
2009-07,1.890,
2009-10,2.057,
2010-01,1.618,
2010-04,1.873,
2010-07,1.783,
2010-10,1.771,
2011-01,1.774,
2011-04,1.892,
2011-07,2.115,
2011-10,2.180,
2012-01,2.204,
2012-04,2.261,
2012-07,2.325,
2012-10,2.293,
2013-01,2.274,
2013-04,2.281,
2013-07,2.216,
2013-10,2.317,
2014-01,2.345,
2014-04,2.288,
2014-07,2.257,
