"",BBK01.WX4262,BBK01.WX4262_FLAGS
"",Yields on debt securities outstanding issued by residents / Public Pfandbriefe / Mean residual maturity of more than 1 and up to 2 years / Monthly average,
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:09:54,
1990-12,9.4,
1991-01,9.5,
1991-02,9.1,
1991-03,9.2,
1991-04,9.3,
1991-05,9.1,
1991-06,9.2,
1991-07,9.5,
1991-08,9.5,
1991-09,9.4,
1991-10,9.4,
1991-11,9.4,
1991-12,9.4,
1992-01,9.1,
1992-02,9.2,
1992-03,9.5,
1992-04,9.5,
1992-05,9.5,
1992-06,9.5,
1992-07,9.7,
1992-08,9.8,
1992-09,8.7,
1992-10,7.9,
1992-11,7.9,
1992-12,7.8,
1993-01,7.5,
1993-02,7.1,
1993-03,6.7,
1993-04,6.8,
1993-05,6.7,
1993-06,6.8,
1993-07,6.5,
1993-08,6.1,
1993-09,6.0,
1993-10,5.8,
1993-11,5.5,
1993-12,5.4,
1994-01,5.4,
1994-02,5.6,
1994-03,5.8,
1994-04,5.7,
1994-05,5.6,
1994-06,5.7,
1994-07,5.6,
1994-08,5.9,
1994-09,6.3,
1994-10,6.3,
1994-11,6.2,
1994-12,6.4,
1995-01,6.3,
1995-02,6.2,
1995-03,5.8,
1995-04,5.4,
1995-05,5.0,
1995-06,5.2,
1995-07,5.1,
1995-08,4.8,
1995-09,4.5,
1995-10,4.4,
1995-11,4.1,
1995-12,4.0,
1996-01,3.7,
1996-02,4.0,
1996-03,3.9,
1996-04,3.8,
1996-05,3.8,
1996-06,4.1,
1996-07,4.1,
1996-08,3.9,
1996-09,3.7,
1996-10,3.6,
1996-11,3.6,
1996-12,3.6,
1997-01,3.5,
1997-02,3.5,
1997-03,3.7,
1997-04,3.7,
1997-05,3.7,
1997-06,3.6,
1997-07,3.6,
1997-08,3.9,
1997-09,4.0,
1997-10,4.4,
1997-11,4.4,
1997-12,4.4,
1998-01,4.1,
1998-02,4.1,
1998-03,4.1,
1998-04,4.2,
1998-05,4.2,
1998-06,4.2,
1998-07,4.1,
1998-08,4.0,
1998-09,3.7,
1998-10,3.6,
1998-11,3.6,
1998-12,3.4,
1999-01,3.2,
1999-02,3.2,
1999-03,3.2,
1999-04,2.9,
1999-05,2.9,
1999-06,3.1,
1999-07,3.4,
1999-08,3.6,
1999-09,3.6,
1999-10,4.0,
1999-11,4.0,
1999-12,4.2,
2000-01,4.4,
2000-02,4.5,
2000-03,4.6,
2000-04,4.7,
2000-05,5.1,
2000-06,5.2,
2000-07,5.3,
2000-08,5.4,
2000-09,5.4,
2000-10,5.4,
2000-11,5.3,
2000-12,5.0,
2001-01,4.7,
2001-02,4.7,
2001-03,4.5,
2001-04,4.6,
2001-05,4.6,
2001-06,4.5,
2001-07,4.5,
2001-08,4.3,
2001-09,3.9,
2001-10,3.6,
2001-11,3.4,
2001-12,3.6,
2002-01,3.8,
2002-02,3.9,
2002-03,4.2,
2002-04,4.2,
2002-05,4.3,
2002-06,4.1,
2002-07,3.9,
2002-08,3.6,
2002-09,3.4,
2002-10,3.3,
2002-11,3.2,
2002-12,3.1,
2003-01,2.8,
2003-02,2.6,
2003-03,2.6,
2003-04,2.7,
2003-05,2.4,
2003-06,2.2,
2003-07,2.3,
2003-08,2.6,
2003-09,2.6,
2003-10,2.6,
2003-11,2.7,
2003-12,2.7,
2004-01,2.5,
2004-02,2.4,
2004-03,2.3,
2004-04,2.4,
2004-05,2.6,
2004-06,2.7,
2004-07,2.6,
2004-08,2.5,
2004-09,2.6,
2004-10,2.5,
2004-11,2.5,
2004-12,2.5,
2005-01,2.5,
2005-02,2.5,
2005-03,2.5,
2005-04,2.4,
2005-05,2.3,
2005-06,2.2,
2005-07,2.3,
2005-08,2.3,
2005-09,2.3,
2005-10,2.6,
2005-11,2.8,
2005-12,2.9,
2006-01,3.0,
2006-02,3.0,
2006-03,3.3,
2006-04,3.4,
2006-05,3.5,
2006-06,3.5,
2006-07,3.6,
2006-08,3.7,
2006-09,3.7,
2006-10,3.8,
2006-11,3.8,
2006-12,3.9,
2007-01,4.1,
2007-02,4.1,
2007-03,4.1,
