"",BBK01.QUF828,BBK01.QUF828_FLAGS
"","All foreign subsidiaries: Liabilities to non-residents, total / Cyprus / Euro",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:16:50,
2004-12,0.077,
2005-01,0.077,
2005-02,0.081,
2005-03,0.078,
2005-04,0.076,
2005-05,0.078,
2005-06,0.081,
2005-07,0.084,
2005-08,0.092,
2005-09,0.108,
2005-10,0.103,
2005-11,0.081,
2005-12,0.082,
2006-01,0.108,
2006-02,0.125,
2006-03,0.083,
2006-04,0.108,
2006-05,0.174,
2006-06,0.141,
2006-07,0.152,
2006-08,0.135,
2006-09,0.166,
2006-10,0.136,
2006-11,0.151,
2006-12,0.112,
2007-01,0.079,
2007-02,0.083,
2007-03,0.093,
2007-04,0.093,
2007-05,0.062,
2007-06,0.071,
2007-07,0.134,
2007-08,0.163,
2007-09,0.124,
2007-10,0.115,
2007-11,0.110,
2007-12,0.115,
2008-01,1.259,
2008-02,1.028,
2008-03,1.305,
2008-04,1.281,
2008-05,1.309,
2008-06,1.313,
2008-07,0.870,
2008-08,0.821,
2008-09,0.735,
2008-10,0.541,
2008-11,0.535,
2008-12,0.479,
2009-01,0.495,
2009-02,0.502,
2009-03,0.494,
2009-04,0.092,
2009-05,0.098,
2009-06,0.081,
2009-07,0.085,
2009-08,0.092,
2009-09,0.099,
2009-10,0.156,
2009-11,0.083,
2009-12,0.070,
2010-01,0.061,
2010-02,0.068,
2010-03,0.068,
2010-04,0.060,
2010-05,0.172,
2010-06,0.169,
2010-07,0.172,
2010-08,0.176,
2010-09,0.175,
2010-10,0.163,
2010-11,0.162,
2010-12,0.241,
2011-01,0.243,
2011-02,0.239,
2011-03,0.249,
2011-04,0.278,
2011-05,0.244,
2011-06,0.234,
2011-07,0.189,
2011-08,0.202,
2011-09,0.486,
2011-10,0.451,
2011-11,0.384,
2011-12,0.208,
2012-01,0.197,
2012-02,0.214,
2012-03,0.216,
2012-04,0.231,
2012-05,0.220,
2012-06,0.231,
2012-07,0.218,
2012-08,0.241,
2012-09,0.226,
2012-10,0.226,
2012-11,0.223,
2012-12,0.259,
2013-01,0.255,
2013-02,0.218,
2013-03,0.237,
2013-04,0.233,
2013-05,0.235,
2013-06,0.219,
2013-07,0.207,
2013-08,0.210,
2013-09,0.204,
2013-10,0.194,
2013-11,0.204,
2013-12,0.200,
2014-01,0.202,
2014-02,0.214,
2014-03,0.199,
2014-04,0.189,
2014-05,0.189,
2014-06,0.185,
2014-07,0.183,
2014-08,0.183,
2014-09,0.189,
2014-10,0.212,
2014-11,0.266,
