"",BBK01.WXI014,BBK01.WXI014_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:14,
2009-09,32,
2009-10,37,
2009-11,38,
2009-12,12,
2010-01,14,
2010-02,6,
2010-03,7,
2010-04,279,
2010-05,19,
2010-06,7,
2010-07,31,
2010-08,18,
2010-09,43,
2010-10,10,
2010-11,7,
2010-12,9,
2011-01,12,
2011-02,6,
2011-03,11,
2011-04,24,
2011-05,11,
2011-06,15,
2011-07,40,
2011-08,14,
2011-09,9,
2011-10,10,
2011-11,7,
2011-12,9,
2012-01,15,
2012-02,8,
2012-03,10,
2012-04,64,
2012-05,31,
2012-06,19,
2012-07,10,
2012-08,8,
2012-09,9,
2012-10,5,
2012-11,6,
2012-12,15,
2013-01,27,
2013-02,13,
2013-03,44,
2013-04,1762,
2013-05,13,
2013-06,10,
2013-07,14,
2013-08,56,
2013-09,63,
2013-10,27,
2013-11,11,
2013-12,10,
2014-01,96,
2014-02,10,
2014-03,8,
2014-04,272,
2014-05,16,
2014-06,19,
2014-07,10,
2014-08,10,
2014-09,7,
2014-10,7,
2014-11,20,
