"",BBK01.OELJ06M,BBK01.OELJ06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:52,
2002-01,0.118,
2002-04,0.115,
2002-07,0.118,
2002-10,0.148,
2003-01,0.146,
2003-04,0.145,
2003-07,0.144,
2003-10,0.145,
2004-01,0.144,
2004-04,0.145,
2004-07,0.146,
2004-10,0.143,
2005-01,0.140,
2005-04,0.120,
2005-07,0.122,
2005-10,0.119,
2006-01,0.119,
2006-04,0.119,
2006-07,0.119,
2006-10,0.117,
2007-01,0.101,
2007-04,0.105,
2007-07,0.095,
2007-10,0.090,
2008-01,0.081,
2008-04,0.075,
2008-07,0.077,
2008-10,0.079,
2009-01,0.073,
2009-04,0.069,
2009-07,0.066,
2009-10,0.072,
2010-01,0.064,
2010-04,0.062,
2010-07,0.054,
2010-10,0.056,
2011-01,0.060,
2011-04,0.059,
2011-07,0.062,
2011-10,0.062,
2012-01,0.065,
2012-04,0.067,
2012-07,0.072,
2012-10,0.068,
2013-01,0.063,
2013-04,0.069,
2013-07,0.058,
2013-10,0.062,
2014-01,0.062,
2014-04,0.065,
2014-07,0.070,
