"",BBK01.OECM07T,BBK01.OECM07T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:04,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,-,Nothing exists
2003-01,0.003,
2003-04,0.009,
2003-07,0.011,
2003-10,0.003,
2004-01,0.005,
2004-04,0.010,
2004-07,0.008,
2004-10,0.008,
2005-01,0.008,
2005-04,0.006,
2005-07,0.006,
2005-10,0.004,
2006-01,0.004,
2006-04,0.001,
2006-07,-,Nothing exists
2006-10,-,Nothing exists
2007-01,-,Nothing exists
2007-04,0.002,
2007-07,0.002,
2007-10,-,Nothing exists
2008-01,-,Nothing exists
2008-04,-,Nothing exists
2008-07,-,Nothing exists
2008-10,-,Nothing exists
2009-01,0.026,
2009-04,0.045,
2009-07,0.101,
2009-10,0.101,
2010-01,0.097,
2010-04,0.109,
2010-07,0.108,
2010-10,0.101,
2011-01,0.097,
2011-04,0.062,
2011-07,0.037,
2011-10,0.034,
2012-01,0.013,
2012-04,0.007,
2012-07,0.009,
2012-10,0.012,
2013-01,0.011,
2013-04,0.011,
2013-07,0.010,
2013-10,0.010,
2014-01,0.009,
2014-04,0.009,
2014-07,0.009,
