"",BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.O.F89.T._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.O.F89.T._T._X.N_FLAGS
"",IIP - Other Investment - Other accounts receivable/payable - Net (Assets minus Liabilities) - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:02:04,
1999-10,9364,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,8786,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,7400,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,9684,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,12499,
2004-01,14716,
2004-04,13803,
2004-07,13689,
2004-10,15332,
2005-01,15830,
2005-04,16236,
2005-07,15258,
2005-10,16247,
2006-01,11484,
2006-04,9926,
2006-07,17722,
2006-10,18577,
2007-01,12394,
2007-04,12693,
2007-07,11367,
2007-10,16382,
2008-01,11521,
2008-04,11758,
2008-07,11012,
2008-10,13637,
2009-01,10608,
2009-04,11047,
2009-07,10830,
2009-10,16108,
2010-01,8577,
2010-04,8962,
2010-07,7537,
2010-10,14780,
2011-01,10962,
2011-04,11397,
2011-07,11491,
2011-10,16299,
2012-01,11093,
2012-04,9954,
2012-07,10107,
2012-10,15188,
2013-01,10245,
2013-04,10660,
2013-07,9696,
2013-10,15356,
2014-01,11430,
2014-04,11930,
2014-07,11698,
