"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.AU.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.AU.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Australia,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:30,
2009-09,1248,
2009-10,1263,
2009-11,1342,
2009-12,1274,
2010-01,1165,
2010-02,1192,
2010-03,1364,
2010-04,1380,
2010-05,1304,
2010-06,1293,
2010-07,1307,
2010-08,1293,
2010-09,1384,
2010-10,1401,
2010-11,1453,
2010-12,1513,
2011-01,1411,
2011-02,1448,
2011-03,1479,
2011-04,1522,
2011-05,1550,
2011-06,1417,
2011-07,1418,
2011-08,1282,
2011-09,1156,
2011-10,1289,
2011-11,1251,
2011-12,1279,
2012-01,1401,
2012-02,1539,
2012-03,1575,
2012-04,1531,
2012-05,1457,
2012-06,1458,
2012-07,1545,
2012-08,1503,
2012-09,1538,
2012-10,1519,
2012-11,1422,
2012-12,1404,
2013-01,1411,
2013-02,1488,
2013-03,1479,
2013-04,1488,
2013-05,1423,
2013-06,1311,
2013-07,1340,
2013-08,1370,
2013-09,1452,
2013-10,1552,
2013-11,1565,
2013-12,1527,
2014-01,1452,
2014-02,1481,
2014-03,1521,
2014-04,1606,
2014-05,1700,
2014-06,1768,
2014-07,1902,
2014-08,1908,
2014-09,1863,
2014-10,1928,
2014-11,1832,
