"",BBK01.OECB08O,BBK01.OECB08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:01,
2002-01,3.666,
2002-04,3.734,
2002-07,3.674,
2002-10,3.626,
2003-01,3.580,
2003-04,3.447,
2003-07,3.394,
2003-10,3.328,
2004-01,3.295,
2004-04,3.270,
2004-07,3.206,
2004-10,3.114,
2005-01,4.278,
2005-04,4.252,
2005-07,4.189,
2005-10,4.195,
2006-01,4.146,
2006-04,4.135,
2006-07,4.105,
2006-10,4.059,
2007-01,4.075,
2007-04,4.230,
2007-07,4.211,
2007-10,4.189,
2008-01,4.163,
2008-04,4.131,
2008-07,4.187,
2008-10,4.190,
2009-01,4.194,
2009-04,5.013,
2009-07,5.002,
2009-10,4.970,
2010-01,4.938,
2010-04,4.935,
2010-07,5.045,
2010-10,4.971,
2011-01,4.804,
2011-04,4.768,
2011-07,4.692,
2011-10,4.636,
2012-01,4.619,
2012-04,4.540,
2012-07,4.525,
2012-10,4.502,
2013-01,4.489,
2013-04,4.485,
2013-07,4.511,
2013-10,4.516,
2014-01,4.522,
2014-04,4.561,
2014-07,4.543,
