"",BBK01.TVD428,BBK01.TVD428_FLAGS
"",Deposits of banks (MFIs) in the euro area / in the home country / German contribution,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:21:05,
1980-01,0,
1980-02,382,
1980-03,3892,
1980-04,902,
1980-05,3159,
1980-06,5570,
1980-07,-1555,
1980-08,-2331,
1980-09,5499,
1980-10,4748,
1980-11,12457,
1980-12,3475,
1981-01,-5455,
1981-02,-6032,
1981-03,1763,
1981-04,-3689,
1981-05,4055,
1981-06,3049,
1981-07,-2117,
1981-08,5839,
1981-09,703,
1981-10,2286,
1981-11,11321,
1981-12,2695,
1982-01,-9575,
1982-02,2186,
1982-03,6405,
1982-04,-5557,
1982-05,2202,
1982-06,1137,
1982-07,-381,
1982-08,3636,
1982-09,6100,
1982-10,1078,
1982-11,9618,
1982-12,51,
1983-01,-10783,
1983-02,-4370,
1983-03,-3124,
1983-04,3224,
1983-05,6259,
1983-06,5404,
1983-07,-5018,
1983-08,1668,
1983-09,839,
1983-10,4911,
1983-11,4351,
1983-12,8069,
1984-01,-13189,
1984-02,2098,
1984-03,-1996,
1984-04,-8239,
1984-05,-313,
1984-06,7486,
1984-07,2358,
1984-08,6488,
1984-09,7357,
1984-10,3988,
1984-11,11493,
1984-12,6972,
1985-01,-18590,
1985-02,9291,
1985-03,-2541,
1985-04,-5567,
1985-05,2298,
1985-06,9208,
1985-07,-3117,
1985-08,-2582,
1985-09,5492,
1985-10,5526,
1985-11,8668,
1985-12,12928,
1986-01,-18923,
1986-02,-1993,
1986-03,5854,
1986-04,1630,
1986-05,683,
1986-06,8028,
1986-07,-5542,
1986-08,4206,
1986-09,-1239,
1986-10,-286,
1986-11,20992,
1986-12,5627,
1987-01,-19893,
1987-02,1797,
1987-03,11638,
1987-04,-12183,
1987-05,6168,
1987-06,3969,
1987-07,-1225,
1987-08,9280,
1987-09,383,
1987-10,3148,
1987-11,7947,
1987-12,4731,
1988-01,-13198,
1988-02,9279,
1988-03,-3639,
1988-04,-4282,
1988-05,2656,
1988-06,11564,
1988-07,5878,
1988-08,12980,
1988-09,10358,
1988-10,8229,
1988-11,8367,
1988-12,6182,
1989-01,-17074,
1989-02,597,
1989-03,5676,
1989-04,3273,
1989-05,241,
1989-06,5131,
1989-07,7124,
1989-08,-7843,
1989-09,6481,
1989-10,3819,
1989-11,24103,
1989-12,4708,
1990-01,-11674,
1990-02,9000,
1990-03,-4611,
1990-04,-8747,
1990-05,6323,
1990-06,3140,
1990-07,17943,
1990-08,10460,
1990-09,4993,
1990-10,6680,
1990-11,2197,
1990-12,1775,
1991-01,-18414,
1991-02,-3703,
1991-03,-6425,
1991-04,-3225,
1991-05,-2172,
1991-06,14387,
1991-07,-6257,
1991-08,-7450,
1991-09,10077,
1991-10,-1301,
1991-11,23272,
1991-12,2082,
1992-01,-19049,
1992-02,-1881,
1992-03,1537,
1992-04,-9755,
1992-05,-744,
1992-06,8071,
1992-07,-3860,
1992-08,10729,
1992-09,-12692,
1992-10,18356,
1992-11,31559,
1992-12,-7974,
1993-01,-8930,
1993-02,7080,
1993-03,13109,
1993-04,-4825,
1993-05,4994,
1993-06,10038,
1993-07,-11217,
1993-08,-12467,
1993-09,23080,
1993-10,9660,
1993-11,27671,
1993-12,10328,
1994-01,-9308,
1994-02,3715,
1994-03,-16204,
1994-04,-617,
1994-05,3179,
1994-06,-563,
1994-07,-4991,
1994-08,-375,
1994-09,-1466,
1994-10,17203,
1994-11,26495,
1994-12,6087,
1995-01,-29528,
1995-02,10530,
1995-03,-8868,
1995-04,8570,
1995-05,1003,
1995-06,-6399,
1995-07,-17346,
1995-08,7761,
1995-09,18554,
1995-10,7484,
1995-11,44412,
1995-12,14175,
1996-01,-7816,
1996-02,15649,
1996-03,2516,
1996-04,-3667,
1996-05,-5302,
1996-06,17496,
1996-07,1209,
1996-08,12117,
1996-09,10518,
1996-10,14659,
1996-11,36013,
1996-12,7948,
1997-01,-21085,
1997-02,18931,
1997-03,3495,
1997-04,512,
1997-05,14749,
1997-06,18224,
1997-07,-154,
1997-08,9010,
1997-09,-4668,
1997-10,25452,
1997-11,27307,
1997-12,2937,
1998-01,-1483,
1998-02,3172,
1998-03,611,
1998-04,1157,
1998-05,12851,
1998-06,15331,
1998-07,-8696,
1998-08,31995,
1998-09,-6511,
1998-10,24312,
1998-11,24465,
1998-12,-3140,
1999-01,13286,
1999-02,-26256,
1999-03,-11003,
1999-04,13095,
1999-05,18919,
1999-06,-1621,
1999-07,25037,
1999-08,12286,
1999-09,2542,
1999-10,27659,
1999-11,650,
1999-12,-10588,
2000-01,2217,
2000-02,-19563,
2000-03,29623,
2000-04,-14313,
2000-05,12604,
2000-06,-21184,
2000-07,-3013,
2000-08,19428,
2000-09,-20950,
2000-10,39789,
2000-11,38637,
2000-12,1402,
2001-01,-43660,
2001-02,14717,
2001-03,15341,
2001-04,-10565,
2001-05,-2339,
2001-06,14184,
