"",BBK01.OEXB05Q,BBK01.OEXB05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:37,
2002-01,6.478,
2002-04,6.342,
2002-07,6.280,
2002-10,6.274,
2003-01,6.506,
2003-04,6.471,
2003-07,6.165,
2003-10,5.820,
2004-01,5.767,
2004-04,5.742,
2004-07,5.630,
2004-10,3.279,
2005-01,3.195,
2005-04,3.213,
2005-07,3.250,
2005-10,3.285,
2006-01,3.367,
2006-04,3.418,
2006-07,3.405,
2006-10,3.441,
2007-01,3.461,
2007-04,3.456,
2007-07,3.446,
2007-10,3.470,
2008-01,3.435,
2008-04,3.517,
2008-07,3.479,
2008-10,3.430,
2009-01,3.422,
2009-04,3.426,
2009-07,3.490,
2009-10,3.475,
2010-01,3.479,
2010-04,3.510,
2010-07,3.514,
2010-10,3.536,
2011-01,3.560,
2011-04,3.588,
2011-07,3.613,
2011-10,3.560,
2012-01,3.590,
2012-04,3.647,
2012-07,3.704,
2012-10,3.718,
2013-01,3.795,
2013-04,3.821,
2013-07,3.916,
2013-10,3.932,
2014-01,3.943,
2014-04,4.498,
2014-07,4.029,
