"",BBK01.OELM04G,BBK01.OELM04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:44,
2002-01,0.573,
2002-04,0.589,
2002-07,0.576,
2002-10,0.746,
2003-01,0.591,
2003-04,0.540,
2003-07,0.589,
2003-10,0.766,
2004-01,0.549,
2004-04,0.647,
2004-07,0.732,
2004-10,0.855,
2005-01,0.725,
2005-04,0.765,
2005-07,0.762,
2005-10,0.889,
2006-01,0.790,
2006-04,0.853,
2006-07,0.973,
2006-10,1.234,
2007-01,1.137,
2007-04,1.240,
2007-07,1.208,
2007-10,1.407,
2008-01,1.143,
2008-04,1.109,
2008-07,1.157,
2008-10,1.232,
2009-01,1.143,
2009-04,1.135,
2009-07,1.038,
2009-10,0.987,
2010-01,0.829,
2010-04,0.919,
2010-07,0.915,
2010-10,0.873,
2011-01,0.832,
2011-04,0.916,
2011-07,1.054,
2011-10,1.149,
2012-01,1.147,
2012-04,1.085,
2012-07,1.120,
2012-10,1.255,
2013-01,1.572,
2013-04,1.383,
2013-07,1.489,
2013-10,1.364,
2014-01,1.442,
2014-04,1.515,
2014-07,2.013,
