"",BBK01.CELO09,BBK01.CELO09_FLAGS
"",Other deposits                                                 debtor: Total            creditor: Investment fund shares,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:51,
1999-01,-3.5,
1999-04,-3.2,
1999-07,1.9,
1999-10,1.5,
2000-01,-3.4,
2000-04,0.6,
2000-07,5.2,
2000-10,-0.1,
2001-01,-3.2,
2001-04,0.4,
2001-07,2.9,
2001-10,1.4,
2002-01,-0.5,
2002-04,0.7,
2002-07,6.8,
2002-10,-2.1,
2003-01,2.8,
2003-04,0.4,
2003-07,4.6,
2003-10,0.0,
2004-01,-3.6,
2004-04,-1.1,
2004-07,-1.9,
2004-10,8.9,
2005-01,-3.2,
2005-04,2.2,
2005-07,2.6,
2005-10,-1.8,
2006-01,10.1,
2006-04,-0.4,
2006-07,5.4,
2006-10,-7.8,
2007-01,5.0,
2007-04,1.4,
2007-07,4.3,
2007-10,15.8,
2008-01,9.9,
2008-04,9.4,
2008-07,22.3,
2008-10,1.6,
2009-01,-7.4,
2009-04,-5.3,
2009-07,-7.8,
2009-10,-6.2,
2010-01,-1.8,
2010-04,-0.4,
2010-07,0.8,
2010-10,-1.8,
2011-01,3.6,
2011-04,0.2,
2011-07,7.4,
2011-10,-1.0,
2012-01,-1.5,
2012-04,2.0,
2012-07,-1.5,
2012-10,-2.2,
2013-01,0.3,
2013-04,0.7,
2013-07,-0.6,
2013-10,-1.1,
2014-01,-0.4,
2014-04,-0.9,
2014-07,0.4,
