"",BBK01.OEBL01I,BBK01.OEBL01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:00,
2002-01,18.174,
2002-04,17.975,
2002-07,17.226,
2002-10,17.473,
2003-01,17.157,
2003-04,16.768,
2003-07,12.763,
2003-10,12.552,
2004-01,12.326,
2004-04,12.007,
2004-07,11.413,
2004-10,11.455,
2005-01,16.256,
2005-04,16.317,
2005-07,16.383,
2005-10,17.012,
2006-01,16.759,
2006-04,17.104,
2006-07,17.121,
2006-10,20.719,
2007-01,21.387,
2007-04,22.186,
2007-07,22.795,
2007-10,23.882,
2008-01,25.034,
2008-04,25.578,
2008-07,25.836,
2008-10,32.814,
2009-01,34.229,
2009-04,34.490,
2009-07,34.529,
2009-10,36.050,
2010-01,39.424,
2010-04,39.569,
2010-07,39.691,
2010-10,41.524,
2011-01,44.237,
2011-04,45.538,
2011-07,47.148,
2011-10,50.429,
2012-01,55.234,
2012-04,57.833,
2012-07,57.871,
2012-10,58.312,
2013-01,57.890,
2013-04,57.982,
2013-07,57.904,
2013-10,58.093,
2014-01,59.020,
2014-04,59.229,
2014-07,58.838,
