"",BBK01.OEBL03M,BBK01.OEBL03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:15,
2002-01,2.456,
2002-04,2.338,
2002-07,2.374,
2002-10,2.377,
2003-01,2.243,
2003-04,2.043,
2003-07,1.867,
2003-10,1.810,
2004-01,1.719,
2004-04,1.801,
2004-07,1.731,
2004-10,1.835,
2005-01,2.129,
2005-04,1.935,
2005-07,1.919,
2005-10,2.062,
2006-01,2.044,
2006-04,2.039,
2006-07,2.180,
2006-10,2.482,
2007-01,2.789,
2007-04,2.988,
2007-07,3.429,
2007-10,4.244,
2008-01,4.999,
2008-04,5.366,
2008-07,6.493,
2008-10,7.574,
2009-01,6.786,
2009-04,6.836,
2009-07,5.397,
2009-10,4.052,
2010-01,3.111,
2010-04,2.401,
2010-07,1.968,
2010-10,2.332,
2011-01,1.840,
2011-04,2.069,
2011-07,2.115,
2011-10,2.409,
2012-01,2.521,
2012-04,2.284,
2012-07,2.119,
2012-10,1.707,
2013-01,1.407,
2013-04,1.296,
2013-07,1.229,
2013-10,1.226,
2014-01,1.146,
2014-04,1.274,
2014-07,1.420,
