"",BBK01.OECI01Q,BBK01.OECI01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:23,
2002-01,2.753,
2002-04,2.667,
2002-07,2.637,
2002-10,2.987,
2003-01,2.927,
2003-04,2.835,
2003-07,3.859,
2003-10,3.052,
2004-01,2.740,
2004-04,2.779,
2004-07,2.809,
2004-10,5.242,
2005-01,7.610,
2005-04,7.467,
2005-07,7.653,
2005-10,7.576,
2006-01,7.382,
2006-04,7.524,
2006-07,7.457,
2006-10,7.833,
2007-01,7.701,
2007-04,7.992,
2007-07,7.934,
2007-10,8.633,
2008-01,8.528,
2008-04,8.797,
2008-07,9.044,
2008-10,9.623,
2009-01,9.473,
2009-04,9.793,
2009-07,9.850,
2009-10,10.061,
2010-01,9.771,
2010-04,9.711,
2010-07,9.632,
2010-10,9.871,
2011-01,9.510,
2011-04,9.345,
2011-07,9.256,
2011-10,9.500,
2012-01,9.902,
2012-04,9.672,
2012-07,9.668,
2012-10,10.073,
2013-01,9.715,
2013-04,9.740,
2013-07,9.610,
2013-10,9.917,
2014-01,9.844,
2014-04,9.838,
2014-07,10.052,
