"",BBFB1.Q.N.DE.DK.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.DK.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:19,
1991-01,11.214,
1991-04,1.640,
1991-07,22.737,
1991-10,-39.228,
1992-01,322.027,
1992-04,-253.480,
1992-07,146.829,
1992-10,-215.060,
1993-01,559.648,
1993-04,-340.744,
1993-07,222.374,
1993-10,167.676,
1994-01,260.480,
1994-04,-430.595,
1994-07,57.779,
1994-10,-462.091,
1995-01,61.205,
1995-04,114.323,
1995-07,251.120,
1995-10,69.024,
1996-01,-125.881,
1996-04,642.428,
1996-07,11.721,
1996-10,180.986,
1997-01,-29.223,
1997-04,-113.011,
1997-07,537.259,
1997-10,256.872,
1998-01,-106.504,
1998-04,1102.220,
1998-07,76.878,
1998-10,214.068,
1999-01,506.554,
1999-04,157.823,
1999-07,167.478,
1999-10,-32.109,
2000-01,-221.976,
2000-04,-145.241,
2000-07,995.536,
2000-10,-1232.165,
2001-01,2129.943,
2001-04,-1602.500,
2001-07,1150.968,
2001-10,-1479.762,
2002-01,555.642,
2002-04,1448.139,
2002-07,287.706,
2002-10,-1547.982,
2003-01,158.470,
2003-04,-13.748,
2003-07,-599.029,
2003-10,-48.670,
2004-01,575.463,
2004-04,405.197,
2004-07,1258.365,
2004-10,-1489.471,
2005-01,81.665,
2005-04,1361.530,
2005-07,-1048.762,
2005-10,460.786,
2006-01,1291.111,
2006-04,-162.280,
2006-07,-267.008,
2006-10,4894.520,
2007-01,-1039.253,
2007-04,-1075.022,
2007-07,2223.895,
2007-10,-1579.883,
2008-01,1137.372,
2008-04,-482.762,
2008-07,-390.951,
2008-10,-1259.746,
2009-01,-118.514,
2009-04,193.928,
2009-07,1493.580,
2009-10,9643.981,
2010-01,167.592,
2010-04,-4277.136,
2010-07,-642.297,
2010-10,84.646,
2011-01,-2646.101,
2011-04,-1367.556,
2011-07,2152.943,
2011-10,-7190.053,
2012-01,2550.109,
2012-04,1600.147,
2012-07,828.098,
2012-10,34.812,
2013-01,3263.417,
2013-04,-3564.173,
2013-07,-2543.393,
2013-10,-572.281,
2014-01,-757.681,Provisional value
2014-04,-667.346,Provisional value
2014-07,1882.089,Provisional value
2014-10,-1840.759,Provisional value
