"",BBFB1.Q.N.DE.BE.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.BE.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:54,
1991-01,527.763,
1991-04,-77.013,
1991-07,-198.844,
1991-10,3124.156,
1992-01,1165.003,
1992-04,-596.742,
1992-07,-81.257,
1992-10,331.222,
1993-01,3127.673,
1993-04,334.681,
1993-07,-327.455,
1993-10,3002.538,
1994-01,-1437.363,
1994-04,-1070.742,
1994-07,-481.177,
1994-10,-409.824,
1995-01,1615.077,
1995-04,342.361,
1995-07,-1378.451,
1995-10,499.071,
1996-01,3570.210,
1996-04,-356.802,
1996-07,182.358,
1996-10,-103.062,
1997-01,1787.738,
1997-04,-742.922,
1997-07,-366.026,
1997-10,1635.200,
1998-01,1017.214,
1998-04,1984.704,
1998-07,-506.075,
1998-10,4170.880,
1999-01,-27612.460,
1999-04,-32146.390,
1999-07,66405.075,
1999-10,-2622.834,
2000-01,-4596.726,
2000-04,14001.147,
2000-07,20448.924,
2000-10,-9625.025,
2001-01,3973.487,
2001-04,4478.911,
2001-07,2374.357,
2001-10,525.358,
2002-01,3173.468,
2002-04,-3565.588,
2002-07,3411.844,
2002-10,-2978.425,
2003-01,5477.241,
2003-04,5743.762,
2003-07,-4678.156,
2003-10,-2551.268,
2004-01,-4611.935,
2004-04,3510.891,
2004-07,-4004.864,
2004-10,-5338.708,
2005-01,5283.445,
2005-04,-3856.458,
2005-07,2671.538,
2005-10,-3691.029,
2006-01,10891.651,
2006-04,1094.840,
2006-07,-4281.915,
2006-10,2927.398,
2007-01,-1975.703,
2007-04,6723.213,
2007-07,-5367.591,
2007-10,-151.252,
2008-01,9082.736,
2008-04,9387.747,
2008-07,-3518.753,
2008-10,-5628.563,
2009-01,3727.835,
2009-04,3521.723,
2009-07,-2455.037,
2009-10,5830.624,
2010-01,2772.164,
2010-04,4607.884,
2010-07,-2246.576,
2010-10,1342.113,
2011-01,4704.040,
2011-04,16977.575,
2011-07,19222.070,
2011-10,-20789.379,
2012-01,1164.314,
2012-04,-2952.339,
2012-07,-988.433,
2012-10,-6613.068,
2013-01,12528.079,
2013-04,7231.785,
2013-07,-1126.362,
2013-10,-1398.992,
2014-01,7038.202,Provisional value
2014-04,3280.772,Provisional value
2014-07,4893.608,Provisional value
2014-10,-8434.867,Provisional value
