"",BBK01.OEAF36G,BBK01.OEAF36G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:52,
2002-01,8.937,
2002-04,9.041,
2002-07,9.112,
2002-10,9.145,
2003-01,9.248,
2003-04,8.684,
2003-07,12.394,
2003-10,12.859,
2004-01,12.740,
2004-04,12.287,
2004-07,12.790,
2004-10,12.935,
2005-01,13.154,
2005-04,13.139,
2005-07,13.294,
2005-10,13.093,
2006-01,13.015,
2006-04,13.142,
2006-07,12.743,
2006-10,12.506,
2007-01,12.161,
2007-04,11.506,
2007-07,11.386,
2007-10,11.255,
2008-01,10.989,
2008-04,11.095,
2008-07,11.065,
2008-10,11.153,
2009-01,11.192,
2009-04,11.218,
2009-07,11.434,
2009-10,11.324,
2010-01,11.249,
2010-04,11.216,
2010-07,14.672,
2010-10,14.679,
2011-01,14.613,
2011-04,11.186,
2011-07,11.067,
2011-10,10.906,
2012-01,10.955,
2012-04,10.968,
2012-07,10.985,
2012-10,10.452,
2013-01,10.284,
2013-04,10.272,
2013-07,10.314,
2013-10,10.334,
2014-01,10.356,
2014-04,10.512,
2014-07,10.560,
