"",BBEX3.A.DZD.USD.CA.AB.A04,BBEX3.A.DZD.USD.CA.AB.A04_FLAGS
"",Exchange rates for the US dollar in Algeria / USD 1 = DZD ... (selling),
unit,DZD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:13:48,
1975,3.9824,
1976,4.1705,
1977,4.1535,
1978,3.9623,
1979,3.8631,
1980,3.8483,
1981,4.3228,
1982,4.6087,
1983,4.8021,
1984,4.9948,
1985,5.0223,
1986,4.7067,
1987,4.8600,
1988,5.9544,
1989,7.6413,
1990,9.0348,
1991,18.7003,comment
1992,21.8713,
1993,23.3728,
1994,35.5021,comment
1995,47.8471,
1996,54.8271,
1997,57.7262,
1998,58.8301,
1999,66.8143,
2000,75.3495,
2001,77.3632,
2002,79.7221,
2003,77.2724,
2004,72.0845,
2005,73.4194,
2006,72.6516,
2007,69.3018,
2008,64.6908,
2009,72.6783,
2010,74.4052,
2011,72.8468,
2012,77.6162,
2013,79.3113,
2014,80.7053,
"","Source: Banque d'Algerie (formerly: Banque Centrale d'Algerie), Algiers.",
"",Methodology: Calculated on the basis of mid-month and month-end rates.,
"","Comment on 1991: On 30 September 1991, the Algerian dinar was devalued. We recorded the following exchange rates (buying/selling rate). 27 September 1991: USD 1 = DZD 17.6285/17.643530 September 1991: USD 1 = DZD 21.4314/21.4464. Calculated devaluation: 17.7%.",
"","Comment on 1994: On 10 April 1994, the Algerian dinar was devalued. We recorded the following exchange rates (buying/selling rate). 8 April 1994: USD 1 = DZD 25.6762 / 25.691211 April 1994: USD 1 = DZD 35.9110 / 35.9260. Calculated devaluation: 28.5%.",
