"",BBK01.OEAH76K,BBK01.OEAH76K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:56,
2002-01,0.568,
2002-04,0.387,
2002-07,0.287,
2002-10,0.291,
2003-01,0.016,
2003-04,0.016,
2003-07,0.017,
2003-10,0.024,
2004-01,0.023,
2004-04,0.025,
2004-07,0.028,
2004-10,0.028,
2005-01,0.027,
2005-04,0.025,
2005-07,0.028,
2005-10,0.018,
2006-01,0.038,
2006-04,0.050,
2006-07,0.067,
2006-10,0.071,
2007-01,0.063,
2007-04,0.035,
2007-07,0.041,
2007-10,0.036,
2008-01,0.031,
2008-04,0.033,
2008-07,0.029,
2008-10,0.025,
2009-01,0.047,
2009-04,0.040,
2009-07,0.037,
2009-10,0.026,
2010-01,0.038,
2010-04,0.027,
2010-07,0.024,
2010-10,0.023,
2011-01,0.033,
2011-04,0.028,
2011-07,0.081,
2011-10,0.112,
2012-01,0.220,
2012-04,0.409,
2012-07,0.420,
2012-10,0.390,
2013-01,0.411,
2013-04,0.532,
2013-07,0.515,
2013-10,0.503,
2014-01,0.475,
2014-04,0.309,
2014-07,0.276,
