"",BBK01.OEAH26K,BBK01.OEAH26K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:38,
2002-01,10.028,
2002-04,9.507,
2002-07,9.487,
2002-10,9.979,
2003-01,10.237,
2003-04,10.165,
2003-07,10.106,
2003-10,10.245,
2004-01,10.195,
2004-04,10.303,
2004-07,10.350,
2004-10,10.669,
2005-01,11.761,
2005-04,11.866,
2005-07,11.727,
2005-10,11.616,
2006-01,11.599,
2006-04,11.532,
2006-07,11.401,
2006-10,11.490,
2007-01,11.532,
2007-04,11.261,
2007-07,10.974,
2007-10,11.103,
2008-01,11.248,
2008-04,11.097,
2008-07,10.764,
2008-10,11.258,
2009-01,11.224,
2009-04,11.111,
2009-07,11.190,
2009-10,11.195,
2010-01,11.382,
2010-04,11.288,
2010-07,11.372,
2010-10,11.619,
2011-01,11.623,
2011-04,11.636,
2011-07,11.492,
2011-10,11.404,
2012-01,11.616,
2012-04,11.550,
2012-07,11.855,
2012-10,12.002,
2013-01,11.921,
2013-04,11.910,
2013-07,11.948,
2013-10,12.053,
2014-01,12.515,
2014-04,12.654,
2014-07,12.748,
