"",BBK01.OEAF32S,BBK01.OEAF32S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:59,
2002-01,7.377,
2002-04,7.456,
2002-07,7.553,
2002-10,7.691,
2003-01,7.718,
2003-04,7.775,
2003-07,7.882,
2003-10,7.948,
2004-01,7.903,
2004-04,7.914,
2004-07,7.906,
2004-10,7.467,
2005-01,8.339,
2005-04,8.374,
2005-07,8.377,
2005-10,8.329,
2006-01,8.295,
2006-04,8.343,
2006-07,8.410,
2006-10,8.484,
2007-01,8.451,
2007-04,8.598,
2007-07,8.587,
2007-10,8.581,
2008-01,8.501,
2008-04,8.466,
2008-07,8.556,
2008-10,8.549,
2009-01,8.519,
2009-04,9.045,
2009-07,9.148,
2009-10,9.123,
2010-01,9.129,
2010-04,9.198,
2010-07,9.240,
2010-10,9.245,
2011-01,9.384,
2011-04,9.440,
2011-07,9.524,
2011-10,9.617,
2012-01,9.682,
2012-04,9.843,
2012-07,9.987,
2012-10,10.089,
2013-01,10.179,
2013-04,10.323,
2013-07,10.492,
2013-10,10.641,
2014-01,10.728,
2014-04,10.921,
2014-07,11.123,
