"",BBK01.OEAC55V,BBK01.OEAC55V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:38,
2002-01,9.769,
2002-04,9.694,
2002-07,9.682,
2002-10,9.589,
2003-01,9.499,
2003-04,9.349,
2003-07,12.106,
2003-10,11.974,
2004-01,11.803,
2004-04,11.576,
2004-07,11.671,
2004-10,11.442,
2005-01,11.328,
2005-04,11.212,
2005-07,11.209,
2005-10,11.230,
2006-01,11.215,
2006-04,11.300,
2006-07,11.267,
2006-10,11.293,
2007-01,11.048,
2007-04,10.865,
2007-07,10.861,
2007-10,10.826,
2008-01,10.793,
2008-04,10.445,
2008-07,10.245,
2008-10,10.215,
2009-01,10.128,
2009-04,12.570,
2009-07,12.611,
2009-10,14.117,
2010-01,13.145,
2010-04,12.787,
2010-07,11.112,
2010-10,11.134,
2011-01,11.558,
2011-04,11.505,
2011-07,11.298,
2011-10,11.296,
2012-01,11.283,
2012-04,11.488,
2012-07,11.486,
2012-10,11.473,
2013-01,11.434,
2013-04,11.443,
2013-07,11.517,
2013-10,11.528,
2014-01,11.513,
2014-04,11.329,
2014-07,11.387,
