"",BBK01.OEHB19P,BBK01.OEHB19P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:40,
2002-01,0.222,
2002-04,0.223,
2002-07,0.226,
2002-10,0.223,
2003-01,0.217,
2003-04,0.212,
2003-07,0.211,
2003-10,0.208,
2004-01,0.203,
2004-04,0.205,
2004-07,0.203,
2004-10,0.202,
2005-01,0.195,
2005-04,0.194,
2005-07,0.193,
2005-10,0.189,
2006-01,0.186,
2006-04,0.184,
2006-07,0.187,
2006-10,0.183,
2007-01,0.179,
2007-04,0.176,
2007-07,0.176,
2007-10,0.167,
2008-01,0.165,
2008-04,0.166,
2008-07,0.163,
2008-10,0.156,
2009-01,0.156,
2009-04,0.148,
2009-07,0.146,
2009-10,0.140,
2010-01,0.136,
2010-04,0.128,
2010-07,0.138,
2010-10,0.138,
2011-01,0.144,
2011-04,0.147,
2011-07,0.146,
2011-10,0.143,
2012-01,0.148,
2012-04,0.149,
2012-07,0.157,
2012-10,0.157,
2013-01,0.158,
2013-04,0.159,
2013-07,0.164,
2013-10,0.161,
2014-01,0.161,
2014-04,0.162,
2014-07,0.163,
