"",BBK01.OEXM03G,BBK01.OEXM03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:40,
2002-01,1.122,
2002-04,1.484,
2002-07,1.520,
2002-10,1.433,
2003-01,0.893,
2003-04,1.101,
2003-07,1.060,
2003-10,1.428,
2004-01,0.929,
2004-04,1.011,
2004-07,0.815,
2004-10,0.643,
2005-01,0.745,
2005-04,0.408,
2005-07,0.202,
2005-10,0.267,
2006-01,0.212,
2006-04,0.197,
2006-07,0.081,
2006-10,0.113,
2007-01,0.141,
2007-04,0.148,
2007-07,0.165,
2007-10,0.164,
2008-01,0.180,
2008-04,0.144,
2008-07,0.168,
2008-10,0.195,
2009-01,0.237,
2009-04,0.228,
2009-07,0.202,
2009-10,0.203,
2010-01,0.183,
2010-04,0.197,
2010-07,0.231,
2010-10,0.246,
2011-01,0.215,
2011-04,0.265,
2011-07,0.346,
2011-10,0.424,
2012-01,0.477,
2012-04,0.584,
2012-07,0.638,
2012-10,0.878,
2013-01,0.714,
2013-04,0.697,
2013-07,0.813,
2013-10,0.827,
2014-01,1.044,
2014-04,1.030,
2014-07,1.186,
