"",BBFB1.Q.N.DE.NL.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:10,
1991-01,148.178,
1991-04,169.325,
1991-07,178.828,
1991-10,163.825,
1992-01,298.880,
1992-04,226.069,
1992-07,254.224,
1992-10,297.531,
1993-01,257.025,
1993-04,268.792,
1993-07,281.704,
1993-10,261.576,
1994-01,412.831,
1994-04,384.166,
1994-07,372.520,
1994-10,419.224,
1995-01,502.276,
1995-04,484.375,
1995-07,463.984,
1995-10,535.442,
1996-01,290.250,
1996-04,299.765,
1996-07,530.815,
1996-10,393.412,
1997-01,341.483,
1997-04,338.954,
1997-07,353.799,
1997-10,425.167,
1998-01,489.496,
1998-04,519.002,
1998-07,481.299,
1998-10,538.670,
1999-01,351.294,
1999-04,400.980,
1999-07,388.214,
1999-10,374.606,
2000-01,411.905,
2000-04,497.247,
2000-07,483.681,
2000-10,556.296,
2001-01,168.280,
2001-04,241.738,
2001-07,209.639,
2001-10,137.606,
2002-01,253.228,
2002-04,284.681,
2002-07,563.824,
2002-10,342.553,
2003-01,368.681,
2003-04,424.379,
2003-07,373.438,
2003-10,392.415,
2004-01,314.406,
2004-04,303.013,
2004-07,271.544,
2004-10,317.865,
2005-01,265.485,
2005-04,297.021,
2005-07,290.631,
2005-10,255.183,
2006-01,594.266,
2006-04,633.490,
2006-07,545.445,
2006-10,532.745,
2007-01,422.239,
2007-04,490.370,
2007-07,398.962,
2007-10,424.041,
2008-01,414.831,
2008-04,486.527,
2008-07,388.755,
2008-10,385.211,
2009-01,305.878,
2009-04,376.539,
2009-07,336.343,
2009-10,304.666,
2010-01,427.785,
2010-04,498.389,
2010-07,491.319,
2010-10,521.252,
2011-01,368.863,
2011-04,422.278,
2011-07,239.044,
2011-10,346.255,
2012-01,567.570,
2012-04,552.179,
2012-07,553.389,
2012-10,589.702,
2013-01,470.162,
2013-04,501.419,
2013-07,507.321,
2013-10,594.042,
2014-01,525.834,Provisional value
2014-04,460.439,Provisional value
2014-07,658.266,Provisional value
