"",BBK01.OEAE14H,BBK01.OEAE14H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:08,
2002-01,0.846,
2002-04,0.811,
2002-07,0.714,
2002-10,0.829,
2003-01,0.765,
2003-04,0.708,
2003-07,0.651,
2003-10,0.694,
2004-01,0.673,
2004-04,0.673,
2004-07,0.595,
2004-10,0.599,
2005-01,0.579,
2005-04,0.555,
2005-07,0.505,
2005-10,0.512,
2006-01,0.533,
2006-04,0.515,
2006-07,0.456,
2006-10,0.509,
2007-01,0.528,
2007-04,0.517,
2007-07,0.460,
2007-10,0.512,
2008-01,0.481,
2008-04,0.469,
2008-07,0.429,
2008-10,0.474,
2009-01,0.511,
2009-04,0.483,
2009-07,0.424,
2009-10,0.448,
2010-01,0.463,
2010-04,0.455,
2010-07,0.396,
2010-10,0.437,
2011-01,0.445,
2011-04,0.424,
2011-07,0.370,
2011-10,0.398,
2012-01,0.424,
2012-04,0.409,
2012-07,0.353,
2012-10,0.389,
2013-01,0.415,
2013-04,0.410,
2013-07,0.329,
2013-10,0.366,
2014-01,0.377,
2014-04,0.364,
2014-07,0.318,
