"",BBK01.OEAA36N,BBK01.OEAA36N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:16,
2002-01,0.089,
2002-04,0.085,
2002-07,0.082,
2002-10,0.091,
2003-01,0.088,
2003-04,0.074,
2003-07,0.058,
2003-10,0.062,
2004-01,0.055,
2004-04,0.051,
2004-07,0.044,
2004-10,0.029,
2005-01,0.028,
2005-04,0.027,
2005-07,0.024,
2005-10,0.026,
2006-01,0.023,
2006-04,0.021,
2006-07,0.020,
2006-10,0.019,
2007-01,0.015,
2007-04,0.011,
2007-07,0.009,
2007-10,0.011,
2008-01,0.010,
2008-04,0.009,
2008-07,0.008,
2008-10,0.009,
2009-01,0.009,
2009-04,0.008,
2009-07,0.007,
2009-10,0.006,
2010-01,0.010,
2010-04,0.011,
2010-07,0.011,
2010-10,0.009,
2011-01,0.009,
2011-04,0.007,
2011-07,0.007,
2011-10,0.006,
2012-01,0.006,
2012-04,0.006,
2012-07,0.004,
2012-10,0.006,
2013-01,0.002,
2013-04,0.004,
2013-07,0.004,
2013-10,0.004,
2014-01,0.003,
2014-04,0.003,
2014-07,0.003,
