"",BBK01.SU0064,BBK01.SU0064_FLAGS
"","Deposit rates of banks / Savings deposits - Special savings facilities, lump-sum savings contracts concluded for 1 year / Average interest rate",
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2013-04-03 10:29:26,
1986-06,3.92,
1986-07,3.93,
1986-08,3.91,
1986-09,3.90,
1986-10,3.93,
1986-11,3.95,
1986-12,3.96,
1987-01,3.97,
1987-02,3.74,
1987-03,3.66,
1987-04,3.49,
1987-05,3.37,
1987-06,3.31,
1987-07,3.27,
1987-08,3.33,
1987-09,3.36,
1987-10,3.54,
1987-11,3.54,
1987-12,3.36,
1988-01,3.24,
1988-02,3.16,
1988-03,3.11,
1988-04,3.10,
1988-05,3.13,
1988-06,3.18,
1988-07,3.42,
1988-08,3.82,
1988-09,3.99,
1988-10,4.05,
1988-11,4.03,
1988-12,4.11,
1989-01,4.19,
1989-02,4.64,
1989-03,4.97,
1989-04,5.05,
1989-05,5.22,
1989-06,5.42,
1989-07,5.60,
1989-08,5.62,
1989-09,5.71,
1989-10,6.07,
1989-11,6.35,
1989-12,6.50,
1990-01,6.60,
1990-02,7.04,
1990-03,7.17,
1990-04,7.16,
1990-05,7.20,
1990-06,7.24,
1990-07,7.26,
1990-08,7.34,
1990-09,7.39,
1990-10,7.43,
1990-11,7.54,
1990-12,7.58,
1991-01,7.57,
1991-02,7.55,
1991-03,7.51,
1991-04,7.53,
1991-05,7.55,
1991-06,7.57,
1991-07,7.60,
1991-08,7.67,
1991-09,7.76,
1991-10,7.79,
1991-11,7.83,
1991-12,7.85,
1992-01,7.86,
1992-02,7.81,
1992-03,7.83,
1992-04,7.86,
1992-05,7.89,
1992-06,7.91,
1992-07,7.98,
1992-08,8.16,
1992-09,8.13,
1992-10,7.60,
1992-11,7.31,
1992-12,7.28,
1993-01,6.99,
1993-02,6.72,
1993-03,6.32,
1993-04,6.21,
1993-05,6.11,
1993-06,6.06,
1993-07,5.92,
1993-08,5.60,
1993-09,5.32,
1993-10,5.26,
1993-11,5.10,
1993-12,4.87,
1994-01,4.72,
1994-02,4.69,
1994-03,4.71,
1994-04,4.70,
1994-05,4.54,
1994-06,4.51,
1994-07,4.49,
1994-08,4.50,
1994-09,4.66,
1994-10,4.87,
1994-11,4.91,
1994-12,4.99,
1995-01,5.02,
1995-02,5.01,
1995-03,4.98,
1995-04,4.62,
1995-05,4.44,
1995-06,4.23,
1995-07,4.21,
1995-08,4.21,
1995-09,3.97,
1995-10,3.87,
1995-11,3.79,
1995-12,3.61,
1996-01,3.42,
1996-02,3.25,
1996-03,3.27,
1996-04,3.27,
1996-05,3.17,
1996-06,3.15,
1996-07,3.20,
1996-08,3.15,
1996-09,3.08,
1996-10,3.01,
1996-11,3.00,
"",General: Most frequently occuring interest rate for new business within the reporting period (the two middle weeks of a given month). Since January 1991 the rates of banks in the new Länder have been included in the interest rate survey. The average rates are calculated as unweighted arithmetic means from the interest rates reported to be within the spread. The spread is ascertained by eliminating the reports in the top 5% and the bottom 5% of the interest rate range. From December 1996 no longer collected.,
