"",BBK01.OEXI02O,BBK01.OEXI02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:36,
2002-01,-14.425,
2002-04,-14.881,
2002-07,-14.464,
2002-10,-15.949,
2003-01,-16.356,
2003-04,-15.401,
2003-07,-16.819,
2003-10,-18.198,
2004-01,-18.003,
2004-04,-17.977,
2004-07,-18.260,
2004-10,-19.040,
2005-01,1.362,
2005-04,1.416,
2005-07,1.481,
2005-10,1.721,
2006-01,1.800,
2006-04,1.784,
2006-07,1.422,
2006-10,1.569,
2007-01,1.583,
2007-04,1.679,
2007-07,1.908,
2007-10,1.951,
2008-01,1.925,
2008-04,1.836,
2008-07,1.884,
2008-10,1.744,
2009-01,1.707,
2009-04,1.568,
2009-07,1.668,
2009-10,1.813,
2010-01,1.827,
2010-04,1.759,
2010-07,4.115,
2010-10,3.511,
2011-01,3.532,
2011-04,3.585,
2011-07,3.417,
2011-10,3.360,
2012-01,3.184,
2012-04,2.894,
2012-07,2.835,
2012-10,3.072,
2013-01,2.793,
2013-04,2.869,
2013-07,2.724,
2013-10,2.983,
2014-01,2.684,
2014-04,2.731,
2014-07,2.916,
