"",BBK01.OEHM07H,BBK01.OEHM07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:02,
2002-01,0.470,
2002-04,0.420,
2002-07,0.414,
2002-10,0.412,
2003-01,0.362,
2003-04,0.356,
2003-07,0.338,
2003-10,0.357,
2004-01,0.369,
2004-04,0.390,
2004-07,0.425,
2004-10,0.470,
2005-01,0.471,
2005-04,0.471,
2005-07,0.480,
2005-10,0.495,
2006-01,0.489,
2006-04,0.474,
2006-07,0.449,
2006-10,0.451,
2007-01,0.410,
2007-04,0.375,
2007-07,0.372,
2007-10,0.297,
2008-01,0.259,
2008-04,0.227,
2008-07,0.197,
2008-10,0.194,
2009-01,0.229,
2009-04,0.276,
2009-07,0.354,
2009-10,0.414,
2010-01,0.456,
2010-04,0.497,
2010-07,0.523,
2010-10,0.541,
2011-01,0.523,
2011-04,0.507,
2011-07,0.468,
2011-10,0.443,
2012-01,0.419,
2012-04,0.404,
2012-07,0.400,
2012-10,0.406,
2013-01,0.410,
2013-04,0.420,
2013-07,0.446,
2013-10,0.464,
2014-01,0.453,
2014-04,0.432,
2014-07,0.414,
