"",BBK01.XS8869,BBK01.XS8869_FLAGS
"",Imports / Product Classification for Production Statistics from 2002 / Intermediate goods / Seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-28 07:39:24,
2000-01,12.79,
2000-02,12.37,
2000-03,12.98,
2000-04,12.53,
2000-05,13.98,
2000-06,13.17,
2000-07,13.07,
2000-08,15.18,
2000-09,14.41,
2000-10,14.64,
2000-11,14.54,
2000-12,15.37,
2001-01,14.43,
2001-02,15.09,
2001-03,14.06,
2001-04,14.90,
2001-05,14.21,
2001-06,14.33,
2001-07,14.14,
2001-08,13.35,
2001-09,13.47,
2001-10,13.07,
2001-11,13.21,
2001-12,12.23,
2002-01,11.97,
2002-02,12.08,
2002-03,12.45,
2002-04,13.00,
2002-05,11.87,
2002-06,13.44,
2002-07,12.11,
2002-08,12.74,
2002-09,12.59,
2002-10,12.69,
2002-11,12.78,
2002-12,12.76,
2003-01,12.64,
2003-02,12.99,
2003-03,13.35,
2003-04,12.64,
2003-05,12.67,
2003-06,12.89,
2003-07,12.05,
2003-08,12.04,
2003-09,12.67,
2003-10,12.52,
2003-11,13.26,
2003-12,13.02,
2004-01,13.46,
2004-02,13.80,
2004-03,13.66,
2004-04,13.99,
2004-05,13.58,
2004-06,13.47,
2004-07,14.59,
2004-08,14.49,
2004-09,14.90,
2004-10,14.54,
2004-11,15.21,
2004-12,14.72,
2005-01,15.05,
2005-02,14.60,
2005-03,14.27,
2005-04,14.74,
2005-05,15.73,
2005-06,14.48,
2005-07,15.42,
2005-08,15.10,
2005-09,15.22,
2005-10,15.71,
2005-11,15.74,
2005-12,16.57,
2006-01,17.05,
2006-02,16.82,
2006-03,17.28,
2006-04,17.55,
2006-05,17.76,
2006-06,17.88,
2006-07,18.58,
2006-08,18.47,
2006-09,19.23,
2006-10,19.45,
2006-11,19.10,
2006-12,19.33,
2007-01,20.09,
2007-02,21.18,
2007-03,20.39,
2007-04,20.54,
2007-05,20.31,
2007-06,21.00,
2007-07,20.12,
2007-08,21.02,
2007-09,20.44,
2007-10,20.52,
2007-11,19.45,
2007-12,19.98,
2008-01,20.04,
2008-02,19.72,
2008-03,20.07,
2008-04,19.87,
2008-05,19.95,
2008-06,20.64,
2008-07,20.72,
2008-08,20.40,
2008-09,20.98,
2008-10,20.06,
2008-11,17.84,
2008-12,16.18,
