"",BBK01.OEBK03T,BBK01.OEBK03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:07,
2002-01,0.095,
2002-04,0.090,
2002-07,0.088,
2002-10,0.091,
2003-01,0.091,
2003-04,0.073,
2003-07,0.080,
2003-10,0.076,
2004-01,0.074,
2004-04,0.069,
2004-07,0.071,
2004-10,0.073,
2005-01,0.065,
2005-04,0.064,
2005-07,0.051,
2005-10,0.051,
2006-01,0.047,
2006-04,0.047,
2006-07,0.050,
2006-10,0.061,
2007-01,0.059,
2007-04,0.063,
2007-07,0.079,
2007-10,0.097,
2008-01,0.102,
2008-04,0.112,
2008-07,0.142,
2008-10,0.152,
2009-01,0.099,
2009-04,0.082,
2009-07,0.075,
2009-10,0.070,
2010-01,0.059,
2010-04,0.051,
2010-07,0.043,
2010-10,0.040,
2011-01,0.041,
2011-04,0.034,
2011-07,0.037,
2011-10,0.050,
2012-01,0.055,
2012-04,0.044,
2012-07,0.045,
2012-10,0.024,
2013-01,0.020,
2013-04,0.019,
2013-07,0.016,
2013-10,0.017,
2014-01,0.062,
2014-04,0.070,
2014-07,0.069,
