"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.NL.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.NL.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Netherlands / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:55,
2009-09,1221,
2009-10,1162,
2009-11,1152,
2009-12,1103,
2010-01,1296,
2010-02,1309,
2010-03,1381,
2010-04,1422,
2010-05,1386,
2010-06,1432,
2010-07,1520,
2010-08,1641,
2010-09,1684,
2010-10,1641,
2010-11,1635,
2010-12,1619,
2011-01,1720,
2011-02,1659,
2011-03,1647,
2011-04,1674,
2011-05,1656,
2011-06,1601,
2011-07,1642,
2011-08,1710,
2011-09,1702,
2011-10,1669,
2011-11,1626,
2011-12,1641,
2012-01,1756,
2012-02,1764,
2012-03,1775,
2012-04,1719,
2012-05,1771,
2012-06,1841,
2012-07,1976,
2012-08,2074,
2012-09,2011,
2012-10,1934,
2012-11,1915,
2012-12,1895,
2013-01,1749,
2013-02,1783,
2013-03,1683,
2013-04,1672,
2013-05,1705,
2013-06,1674,
2013-07,1710,
2013-08,1671,
2013-09,1659,
2013-10,1677,
2013-11,1600,
2013-12,1696,
2014-01,1658,
2014-02,1566,
2014-03,1567,
2014-04,1621,
2014-05,1638,
2014-06,1662,
2014-07,1623,
2014-08,1599,
2014-09,1576,
2014-10,1567,
2014-11,1516,
