"",BBK01.OEYI05S,BBK01.OEYI05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:05,
2002-01,4.428,
2002-04,4.483,
2002-07,4.505,
2002-10,4.792,
2003-01,4.950,
2003-04,5.000,
2003-07,5.016,
2003-10,5.429,
2004-01,5.484,
2004-04,5.531,
2004-07,5.543,
2004-10,4.383,
2005-01,4.550,
2005-04,4.592,
2005-07,4.646,
2005-10,4.867,
2006-01,4.959,
2006-04,5.050,
2006-07,4.993,
2006-10,5.374,
2007-01,5.342,
2007-04,5.342,
2007-07,5.433,
2007-10,5.773,
2008-01,5.732,
2008-04,5.629,
2008-07,5.597,
2008-10,5.615,
2009-01,5.681,
2009-04,4.444,
2009-07,4.515,
2009-10,4.802,
2010-01,4.882,
2010-04,4.884,
2010-07,4.862,
2010-10,4.875,
2011-01,4.857,
2011-04,4.869,
2011-07,4.883,
2011-10,5.031,
2012-01,5.077,
2012-04,5.116,
2012-07,5.165,
2012-10,5.095,
2013-01,5.142,
2013-04,5.358,
2013-07,5.426,
2013-10,5.549,
2014-01,5.617,
2014-04,5.646,
2014-07,5.739,
