"",BBSF2.M.1.P.00000.IMM01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Real estate funds / Securities total,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:28,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,6131,
1993-05,6352,
1993-06,6431,
1993-07,6575,
1993-08,6978,
1993-09,7082,
1993-10,5820,
1993-11,5671,
1993-12,5768,
1994-01,5358,
1994-02,5713,
1994-03,6541,
1994-04,6910,
1994-05,6938,
1994-06,6872,
1994-07,6797,
1994-08,6876,
1994-09,6923,
1994-10,6834,
1994-11,6895,
1994-12,6602,
1995-01,6560,
1995-02,6703,
1995-03,6789,
1995-04,6653,
1995-05,6998,
1995-06,7629,
1995-07,8064,
1995-08,8340,
1995-09,8593,
1995-10,9026,
1995-11,9160,
1995-12,9062,
1996-01,9746,
1996-02,10580,
1996-03,10558,
1996-04,10666,
1996-05,11134,
1996-06,11421,
1996-07,10668,
1996-08,10580,
1996-09,11193,
1996-10,11714,
1996-11,11481,
1996-12,11071,
1997-01,10980,
1997-02,11490,
1997-03,11774,
1997-04,12065,
1997-05,12062,
1997-06,12068,
1997-07,12201,
1997-08,12048,
1997-09,11783,
1997-10,10186,
1997-11,10212,
1997-12,10210,
1998-01,10078,
1998-02,10795,
1998-03,10794,
1998-04,10739,
1998-05,10440,
1998-06,10460,
1998-07,10715,
1998-08,10142,
1998-09,9588,
1998-10,10786,
1998-11,10932,
1998-12,9841,
1999-01,10803,
1999-02,11549,
1999-03,12941,
1999-04,13529,
1999-05,14517,
1999-06,14795,
1999-07,14933,
1999-08,14736,
1999-09,14499,
1999-10,14049,
1999-11,13673,
1999-12,13091,
2000-01,12675,
2000-02,12054,
2000-03,11718,
2000-04,11404,
2000-05,10882,
2000-06,10161,
2000-07,9794,
2000-08,9574,
2000-09,9080,
2000-10,8846,
2000-11,8642,
2000-12,8179,
2001-01,8115,
2001-02,8549,
2001-03,8757,
2001-04,8932,
2001-05,9192,
2001-06,9019,
2001-07,9247,
2001-08,8829,
2001-09,8164,
2001-10,10741,
2001-11,11815,
2001-12,11742,
2002-01,12833,
2002-02,13431,
2002-03,14053,
2002-04,13249,
2002-05,13986,
2002-06,12773,
2002-07,13374,
2002-08,13833,
2002-09,14874,
2002-10,16464,
2002-11,16263,
2002-12,15550,
2003-01,15950,
2003-02,16666,
2003-03,15984,
2003-04,16997,
2003-05,17224,
2003-06,17173,
2003-07,17693,
2003-08,17648,
2003-09,17568,
2003-10,18750,
2003-11,17911,
2003-12,16911,
2004-01,16115,
2004-02,15873,
2004-03,15928,
2004-04,15516,
2004-05,15257,
2004-06,15305,
2004-07,15219,
2004-08,14732,
2004-09,15069,
2004-10,14269,
2004-11,13512,
2004-12,12673,
2005-01,12571,
2005-02,12529,
2005-03,13243,
2005-04,12973,
2005-05,13156,
2005-06,12875,
2005-07,13141,
2005-08,13309,
2005-09,13140,
2005-10,13823,
2005-11,13109,
2005-12,10732,
2006-01,8459,
2006-02,7552,
2006-03,6726,
2006-04,6680,
2006-05,6955,
2006-06,6996,
2006-07,7128,
2006-08,7111,
2006-09,7871,
2006-10,8301,
2006-11,8335,
2006-12,8587,
2007-01,9547,
2007-02,10251,
2007-03,11084,
2007-04,11537,
2007-05,11612,
2007-06,11523,
2007-07,12039,
2007-08,11820,
2007-09,14041,
2007-10,13957,
2007-11,13255,
2007-12,13530,
2008-01,12563,
2008-02,12672,
2008-03,12570,
2008-04,12645,
2008-05,12366,
2008-06,12017,
2008-07,11383,
2008-08,11005,
2008-09,10057,
2008-10,8843,
2008-11,8670,
2008-12,8100,
2009-01,8350,
2009-02,8432,
2009-03,8608,
2009-04,8837,
2009-05,9013,
2009-06,9263,
2009-07,9378,
2009-08,8918,
2009-09,9309,
2009-10,9414,
2009-11,9960,
2009-12,9750,
2010-01,10548,
2010-02,11162,
2010-03,11494,
2010-04,11658,
2010-05,11364,
2010-06,11241,
2010-07,11191,
2010-08,11478,
2010-09,11379,
2010-10,10802,
2010-11,10746,
2010-12,10391,
2011-01,8867,
2011-02,8318,
2011-03,7751,
2011-04,7217,
2011-05,7646,
2011-06,7421,
2011-07,7440,
2011-08,7314,
2011-09,6820,
2011-10,6827,
2011-11,7126,
2011-12,6932,
2012-01,6873,
2012-02,6872,
2012-03,7041,
2012-04,6956,
2012-05,5811,
2012-06,5923,
2012-07,5734,
2012-08,5938,
2012-09,6102,
2012-10,6305,
2012-11,6277,
2012-12,6351,
2013-01,6910,
2013-02,7422,
2013-03,7432,
2013-04,7599,
2013-05,8058,
2013-06,8480,
2013-07,8853,
2013-08,9065,
2013-09,9131,
2013-10,9171,
2013-11,9442,
2013-12,9086,
2014-01,9397,
2014-02,9518,
2014-03,9366,
2014-04,8958,
2014-05,9247,
2014-06,8962,
2014-07,9035,
2014-08,9004,
2014-09,8790,
2014-10,8927,
2014-11,9016,
