"",BBK01.OEAI01G,BBK01.OEAI01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:04,
2002-01,391.948,
2002-04,392.230,
2002-07,393.220,
2002-10,402.841,
2003-01,403.092,
2003-04,403.696,
2003-07,404.494,
2003-10,411.884,
2004-01,407.632,
2004-04,408.288,
2004-07,407.970,
2004-10,413.311,
2005-01,351.911,
2005-04,357.183,
2005-07,357.750,
2005-10,365.172,
2006-01,364.199,
2006-04,365.055,
2006-07,368.577,
2006-10,376.183,
2007-01,381.887,
2007-04,389.498,
2007-07,394.298,
2007-10,403.200,
2008-01,391.583,
2008-04,408.614,
2008-07,423.384,
2008-10,435.547,
2009-01,444.668,
2009-04,457.183,
2009-07,457.656,
2009-10,464.448,
2010-01,460.866,
2010-04,465.467,
2010-07,472.307,
2010-10,472.704,
2011-01,478.619,
2011-04,480.473,
2011-07,487.293,
2011-10,482.786,
2012-01,488.190,
2012-04,492.309,
2012-07,494.504,
2012-10,491.388,
2013-01,487.137,
2013-04,485.181,
2013-07,477.266,
2013-10,488.058,
2014-01,485.852,
2014-04,493.430,
2014-07,493.317,
