"",BBK01.OELK04T,BBK01.OELK04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:35,
2002-01,0.059,
2002-04,0.053,
2002-07,0.055,
2002-10,0.061,
2003-01,0.058,
2003-04,0.052,
2003-07,0.052,
2003-10,0.054,
2004-01,0.054,
2004-04,0.048,
2004-07,0.047,
2004-10,0.054,
2005-01,0.050,
2005-04,0.047,
2005-07,0.047,
2005-10,0.049,
2006-01,0.050,
2006-04,0.047,
2006-07,0.046,
2006-10,0.048,
2007-01,0.050,
2007-04,0.043,
2007-07,0.045,
2007-10,0.048,
2008-01,0.051,
2008-04,0.048,
2008-07,0.053,
2008-10,0.068,
2009-01,0.064,
2009-04,0.054,
2009-07,0.050,
2009-10,0.053,
2010-01,0.048,
2010-04,0.043,
2010-07,0.043,
2010-10,0.046,
2011-01,0.041,
2011-04,0.041,
2011-07,0.045,
2011-10,0.046,
2012-01,0.045,
2012-04,0.041,
2012-07,0.040,
2012-10,0.039,
2013-01,0.039,
2013-04,0.038,
2013-07,0.035,
2013-10,0.035,
2014-01,0.034,
2014-04,0.033,
2014-07,0.033,
