"",BBDE1.M.DE.W.AEN1.A2P300000.F.V.I10.A,BBDE1.M.DE.W.AEN1.A2P300000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, domestic / At current prices, flows / Germany / Industry / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:57,
2010-01,88.6,
2010-02,90.0,
2010-03,104.5,
2010-04,98.0,
2010-05,98.7,
2010-06,102.5,
2010-07,103.5,
2010-08,96.5,
2010-09,103.4,
2010-10,106.1,
2010-11,108.4,
2010-12,93.5,
2011-01,109.6,
2011-02,111.2,
2011-03,118.7,
2011-04,110.5,
2011-05,108.3,
2011-06,109.7,
2011-07,114.5,
2011-08,104.4,
2011-09,108.5,
2011-10,109.0,
2011-11,109.8,
2011-12,93.9,
2012-01,106.8,
2012-02,105.9,
2012-03,115.5,
2012-04,107.3,
2012-05,106.0,
2012-06,105.9,
2012-07,106.6,
2012-08,97.2,
2012-09,102.6,
2012-10,104.2,
2012-11,105.0,
2012-12,91.0,
2013-01,103.1,
2013-02,102.8,
2013-03,113.6,
2013-04,103.3,
2013-05,101.0,
2013-06,106.4,
2013-07,107.6,
2013-08,100.5,
2013-09,105.6,
2013-10,106.7,
2013-11,110.8,
2013-12,93.6,
2014-01,107.3,
2014-02,108.0,
2014-03,116.2,
2014-04,108.4,
2014-05,104.2,
2014-06,106.2,
2014-07,109.1,
2014-08,98.9,
2014-09,103.4,
2014-10,108.6,
2014-11,107.3,
2014-12,95.8,Provisional value
