"",BBEX3.M.BBD.USD.CA.AA.A01,BBEX3.M.BBD.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Barbados / USD 1 = BBD ... (buying),
unit,BBD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:55,
1975-07,1.99370,
1975-08,1.99370,
1975-09,1.99370,
1975-10,1.99370,
1975-11,1.99370,
1975-12,1.99370,
1976-01,1.99370,
1976-02,1.99370,
1976-03,1.99370,
1976-04,1.99370,
1976-05,1.99370,
1976-06,1.99370,
1976-07,1.99370,
1976-08,1.99370,
1976-09,1.99370,
1976-10,1.99370,
1976-11,1.99370,
1976-12,1.99370,
1977-01,1.99370,
1977-02,1.99370,
1977-03,1.99370,
1977-04,1.99370,
1977-05,1.99370,
1977-06,1.99370,
1977-07,1.99370,
1977-08,1.99370,
1977-09,1.99370,
1977-10,1.99370,
1977-11,1.99370,
1977-12,1.99370,
1978-01,1.99370,
1978-02,1.99370,
1978-03,1.99370,
1978-04,1.99370,
1978-05,1.99370,
1978-06,1.99370,
1978-07,1.99370,
1978-08,1.99370,
1978-09,1.99370,
1978-10,1.99370,
1978-11,1.99370,
1978-12,1.99370,
1979-01,1.99370,
1979-02,1.99370,
1979-03,1.99370,
1979-04,1.99370,
1979-05,1.99370,
1979-06,1.99370,
1979-07,1.99370,
1979-08,1.99370,
1979-09,1.99370,
1979-10,1.99370,
1979-11,1.99370,
1979-12,1.99370,
1980-01,1.99370,
1980-02,1.99370,
1980-03,1.99370,
1980-04,1.99370,
1980-05,1.99370,
1980-06,1.99370,
1980-07,1.99370,
1980-08,1.99370,
1980-09,1.99370,
1980-10,1.99370,
1980-11,1.99370,
1980-12,1.99370,
1981-01,1.99370,
1981-02,1.99370,
1981-03,1.99370,
1981-04,1.99370,
1981-05,1.99370,
1981-06,1.99370,
1981-07,1.99370,
1981-08,1.99370,
1981-09,1.99370,
1981-10,1.99370,
1981-11,1.99370,
1981-12,1.99370,
1982-01,1.99370,
1982-02,1.99370,
1982-03,1.99370,
1982-04,1.99370,
1982-05,1.99370,
1982-06,1.99370,
1982-07,1.99370,
1982-08,1.99370,
1982-09,1.99370,
1982-10,1.99370,
1982-11,1.99370,
1982-12,1.99370,
1983-01,1.99370,
1983-02,1.99370,
1983-03,1.99370,
1983-04,1.99370,
1983-05,1.99370,
1983-06,1.99370,
1983-07,1.99370,
1983-08,1.99370,
1983-09,1.99370,
1983-10,1.99370,
1983-11,1.99370,
1983-12,1.99370,
1984-01,1.99370,
1984-02,1.99370,
1984-03,1.99370,
1984-04,1.99370,
1984-05,1.99370,
1984-06,1.99370,
1984-07,1.99370,
1984-08,1.99370,
1984-09,1.99370,
1984-10,1.99370,
1984-11,1.99370,
1984-12,1.99370,
1985-01,1.99370,
1985-02,1.99370,
1985-03,1.99370,
1985-04,1.99370,
1985-05,1.99370,
1985-06,1.99370,
1985-07,1.99370,
1985-08,1.99370,
1985-09,1.99370,
1985-10,1.99370,
1985-11,1.99370,
1985-12,1.99370,
1986-01,1.99370,
1986-02,1.99370,
1986-03,1.99370,
1986-04,1.99370,
1986-05,1.99370,
1986-06,1.99370,
1986-07,1.99370,
1986-08,1.99370,
1986-09,1.99370,
1986-10,1.99370,
1986-11,1.99370,
1986-12,1.99370,
1987-01,1.99370,
1987-02,1.99370,
1987-03,1.99370,
1987-04,1.99370,
1987-05,1.99370,
1987-06,1.99370,
1987-07,1.99370,
1987-08,1.99370,
1987-09,1.99370,
1987-10,1.99370,
1987-11,1.99370,
1987-12,1.99370,
1988-01,1.99370,
1988-02,1.99370,
1988-03,1.99370,
1988-04,1.99370,
1988-05,1.99370,
1988-06,1.99370,
1988-07,1.99370,
1988-08,1.99370,
1988-09,1.99370,
1988-10,1.99370,
