"",BBK01.OEAH30G,BBK01.OEAH30G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:17,
2002-01,18.508,
2002-04,20.165,
2002-07,20.349,
2002-10,22.988,
2003-01,21.981,
2003-04,22.125,
2003-07,23.303,
2003-10,24.728,
2004-01,23.494,
2004-04,23.670,
2004-07,26.004,
2004-10,26.115,
2005-01,23.763,
2005-04,25.324,
2005-07,26.747,
2005-10,27.428,
2006-01,26.701,
2006-04,28.596,
2006-07,30.249,
2006-10,30.474,
2007-01,35.140,
2007-04,34.908,
2007-07,35.569,
2007-10,33.124,
2008-01,33.879,
2008-04,37.342,
2008-07,34.101,
2008-10,37.210,
2009-01,37.369,
2009-04,38.631,
2009-07,41.796,
2009-10,43.639,
2010-01,45.749,
2010-04,45.677,
2010-07,47.371,
2010-10,48.126,
2011-01,44.798,
2011-04,46.683,
2011-07,50.466,
2011-10,50.317,
2012-01,55.392,
2012-04,53.847,
2012-07,57.372,
2012-10,57.635,
2013-01,59.444,
2013-04,59.953,
2013-07,58.080,
2013-10,60.718,
2014-01,61.077,
2014-04,61.626,
2014-07,61.717,
