"",BBFN1.M.DE.N.1.A.U3.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.U3.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Other EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:38,
1995-01,1.310,
1995-02,1.399,
1995-03,1.458,
1995-04,1.499,
1995-05,1.498,
1995-06,1.759,
1995-07,1.726,
1995-08,1.715,
1995-09,1.629,
1995-10,1.959,
1995-11,1.985,
1995-12,1.564,
1996-01,1.627,
1996-02,1.725,
1996-03,1.664,
1996-04,1.687,
1996-05,1.770,
1996-06,1.730,
1996-07,1.797,
1996-08,1.768,
1996-09,1.781,
1996-10,1.512,
1996-11,1.984,
1996-12,2.001,
1997-01,1.960,
1997-02,1.949,
1997-03,1.956,
1997-04,1.948,
1997-05,1.920,
1997-06,1.925,
1997-07,1.997,
1997-08,2.005,
1997-09,2.114,
1997-10,2.127,
1997-11,2.164,
1997-12,2.080,
1998-01,2.439,
1998-02,2.426,
1998-03,2.463,
1998-04,2.442,
1998-05,2.322,
1998-06,2.331,
1998-07,2.359,
1998-08,2.372,
1998-09,2.344,
1998-10,2.347,
1998-11,2.089,
1998-12,2.297,
1999-01,2.522,
1999-02,2.524,
1999-03,2.599,
1999-04,2.547,
1999-05,2.574,
1999-06,3.157,
1999-07,3.189,
1999-08,3.498,
1999-09,3.492,
1999-10,5.080,
1999-11,5.047,
1999-12,3.820,
2000-01,3.940,
2000-02,4.034,
2000-03,4.041,
2000-04,4.023,
2000-05,4.746,
2000-06,4.832,
2000-07,4.993,
2000-08,5.076,
2000-09,5.426,
2000-10,5.426,
2000-11,5.414,
2000-12,4.608,
2001-01,4.701,
2001-02,4.769,
2001-03,5.079,
2001-04,5.127,
2001-05,5.273,
2001-06,5.899,
2001-07,5.907,
2001-08,5.887,
2001-09,5.967,
2001-10,5.975,
2001-11,5.951,
2001-12,6.990,
2002-01,7.442,
2002-02,7.502,
2002-03,7.427,
2002-04,7.351,
2002-05,7.443,
2002-06,7.472,
2002-07,8.128,
2002-08,8.079,
2002-09,8.188,
2002-10,8.075,
2002-11,8.534,
2002-12,9.367,
2003-01,9.510,
2003-02,9.228,
2003-03,9.529,
2003-04,9.536,
2003-05,9.501,
2003-06,9.546,
2003-07,11.687,
2003-08,11.625,
2003-09,11.643,
2003-10,12.081,
2003-11,12.117,
2003-12,11.737,
2004-01,12.163,
2004-02,12.325,
2004-03,12.481,
2004-04,12.447,
2004-05,14.305,
2004-06,14.457,
2004-07,14.959,
2004-08,14.980,
2004-09,15.049,
2004-10,15.017,
2004-11,15.081,
2004-12,14.690,
2005-01,14.642,
2005-02,14.063,
2005-03,14.206,
2005-04,14.359,
2005-05,13.163,
2005-06,13.364,
2005-07,13.336,
2005-08,13.289,
2005-09,13.465,
2005-10,12.992,
2005-11,12.920,
2005-12,12.897,
2006-01,12.772,
2006-02,13.364,
2006-03,13.311,
2006-04,13.700,
2006-05,14.408,
2006-06,14.079,
2006-07,12.195,
2006-08,12.316,
2006-09,12.384,
2006-10,12.538,
2006-11,12.664,
2006-12,12.973,
2007-01,13.137,
2007-02,13.795,
2007-03,14.262,
2007-04,14.494,
2007-05,14.759,
2007-06,14.296,
2007-07,14.072,
2007-08,18.020,
2007-09,18.240,
2007-10,18.644,
2007-11,18.702,
2007-12,19.488,
2008-01,19.784,
2008-02,20.205,
2008-03,21.759,
2008-04,22.106,
2008-05,22.774,
2008-06,20.328,
2008-07,19.332,
2008-08,19.056,
2008-09,19.248,
2008-10,19.105,
2008-11,18.573,
2008-12,18.411,
2009-01,18.293,
2009-02,18.463,
2009-03,18.888,
2009-04,19.057,
2009-05,19.355,
2009-06,19.104,
2009-07,19.195,
2009-08,20.108,
2009-09,21.176,
2009-10,24.712,
2009-11,24.595,
2009-12,24.545,
2010-01,26.263,
2010-02,26.703,
2010-03,27.125,
2010-04,27.549,
2010-05,27.669,
2010-06,29.347,
2010-07,25.556,
2010-08,25.855,
2010-09,26.524,
2010-10,26.429,
2010-11,26.926,
2010-12,26.192,
2011-01,26.372,
2011-02,26.287,
2011-03,26.965,
2011-04,26.703,
2011-05,27.906,
2011-06,25.517,
2011-07,26.011,
2011-08,26.668,
2011-09,26.396,
2011-10,27.318,
2011-11,27.745,
2011-12,28.120,
2012-01,28.772,
2012-02,29.691,
2012-03,29.702,
2012-04,30.104,
2012-05,30.640,
2012-06,31.505,
2012-07,32.224,
2012-08,32.110,
2012-09,35.296,
2012-10,35.445,
2012-11,35.707,
2012-12,36.056,
2013-01,36.185,
2013-02,36.551,
2013-03,37.677,
2013-04,37.672,
2013-05,37.697,
2013-06,38.078,
2013-07,38.964,
2013-08,39.545,
2013-09,40.361,
2013-10,40.479,
2013-11,40.690,
2013-12,41.553,
2014-01,41.112,
2014-02,41.350,
2014-03,41.156,
2014-04,41.859,
2014-05,43.566,
2014-06,43.921,
2014-07,43.709,
2014-08,43.788,
2014-09,44.012,
2014-10,44.550,
2014-11,44.339,
2014-12,44.202,
"","General: Up to December 2000, including Greece; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Slovenia; from January 2007 including Bulgaria and Romania; up to December 2007, including Cyprus and Malta; up to December 2008, including Slovakia; up to December 2010, including Estonia.",
