"",BBK01.OEYL04M,BBK01.OEYL04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:15,
2002-01,0.077,
2002-04,0.074,
2002-07,0.105,
2002-10,0.061,
2003-01,0.096,
2003-04,0.083,
2003-07,0.078,
2003-10,0.047,
2004-01,0.073,
2004-04,0.067,
2004-07,0.083,
2004-10,0.050,
2005-01,0.032,
2005-04,0.034,
2005-07,0.036,
2005-10,0.036,
2006-01,0.060,
2006-04,0.058,
2006-07,0.063,
2006-10,0.079,
2007-01,0.066,
2007-04,0.057,
2007-07,0.050,
2007-10,0.069,
2008-01,0.080,
2008-04,0.126,
2008-07,0.179,
2008-10,0.206,
2009-01,0.125,
2009-04,0.105,
2009-07,0.072,
2009-10,0.064,
2010-01,0.052,
2010-04,0.040,
2010-07,0.060,
2010-10,0.055,
2011-01,0.051,
2011-04,0.074,
2011-07,0.103,
2011-10,0.107,
2012-01,0.090,
2012-04,0.086,
2012-07,0.079,
2012-10,0.076,
2013-01,0.044,
2013-04,0.012,
2013-07,0.069,
2013-10,0.073,
2014-01,0.063,
2014-04,0.060,
2014-07,0.062,
