"",BBFN1.M.DE.N.1.A.R12.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.R12.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
2012-09,1.437,
2012-10,1.756,
2012-11,1.588,
2012-12,1.378,
2013-01,1.005,
2013-02,1.094,
2013-03,1.141,
2013-04,1.251,
2013-05,1.248,
2013-06,1.530,
2013-07,1.326,
2013-08,1.241,
2013-09,1.336,
2013-10,1.941,
2013-11,2.368,
2013-12,1.247,
2014-01,1.254,
2014-02,1.292,
2014-03,2.236,
2014-04,2.357,
2014-05,2.310,
2014-06,2.717,
2014-07,2.963,
2014-08,3.010,
2014-09,2.367,
2014-10,2.313,
2014-11,2.331,
2014-12,2.142,
"","General: From January 2003, including Guernsey, Jersey and the Isle of Man. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
