"",BBK01.OECB20L,BBK01.OECB20L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:32,
2002-01,4.794,
2002-04,4.783,
2002-07,4.790,
2002-10,4.745,
2003-01,4.691,
2003-04,4.674,
2003-07,4.627,
2003-10,4.574,
2004-01,4.544,
2004-04,4.532,
2004-07,4.498,
2004-10,4.474,
2005-01,6.127,
2005-04,6.177,
2005-07,6.273,
2005-10,6.361,
2006-01,6.397,
2006-04,6.433,
2006-07,6.479,
2006-10,6.543,
2007-01,6.538,
2007-04,6.752,
2007-07,6.858,
2007-10,6.795,
2008-01,6.811,
2008-04,6.823,
2008-07,6.816,
2008-10,6.781,
2009-01,6.751,
2009-04,8.387,
2009-07,8.084,
2009-10,8.104,
2010-01,8.049,
2010-04,7.995,
2010-07,8.092,
2010-10,7.953,
2011-01,7.881,
2011-04,7.823,
2011-07,7.778,
2011-10,7.725,
2012-01,7.689,
2012-04,7.685,
2012-07,7.751,
2012-10,7.769,
2013-01,7.840,
2013-04,7.909,
2013-07,7.998,
2013-10,8.099,
2014-01,8.164,
2014-04,8.284,
2014-07,8.463,
