"",BBFB1.Q.N.DE.W03100.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.W03100.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:31,
1991-01,709.687,
1991-04,1138.990,
1991-07,1902.960,
1991-10,2667.632,
1992-01,2824.499,
1992-04,1388.113,
1992-07,840.936,
1992-10,1212.004,
1993-01,1077.689,
1993-04,1437.466,
1993-07,1419.754,
1993-10,3462.886,
1994-01,1989.016,
1994-04,1963.558,
1994-07,2016.996,
1994-10,1457.383,
1995-01,510.907,
1995-04,1495.281,
1995-07,323.658,
1995-10,2060.725,
1996-01,1324.767,
1996-04,338.195,
1996-07,331.868,
1996-10,1562.576,
1997-01,397.474,
1997-04,1306.348,
1997-07,2633.855,
1997-10,1997.130,
1998-01,2550.975,
1998-04,2611.443,
1998-07,2498.017,
1998-10,1859.115,
1999-01,1956.922,
1999-04,2222.344,
1999-07,1345.488,
1999-10,1260.490,
2000-01,-632.883,
2000-04,329.388,
2000-07,2029.309,
2000-10,550.950,
2001-01,-384.044,
2001-04,422.762,
2001-07,882.961,
2001-10,1438.245,
2002-01,1010.348,
2002-04,344.910,
2002-07,-571.927,
2002-10,-919.726,
2003-01,573.697,
2003-04,-875.231,
2003-07,-984.790,
2003-10,1452.470,
2004-01,-298.377,
2004-04,-358.922,
2004-07,2138.985,
2004-10,1065.290,
2005-01,-1981.660,
2005-04,3025.630,
2005-07,-3854.131,
2005-10,964.650,
2006-01,3868.264,
2006-04,2037.835,
2006-07,-3633.813,
2006-10,2634.442,
2007-01,4022.500,
2007-04,4683.034,
2007-07,11171.861,
2007-10,11102.460,
2008-01,3229.966,
2008-04,4647.229,
2008-07,6133.012,
2008-10,214.666,
2009-01,148.106,
2009-04,-1067.256,
2009-07,-801.468,
2009-10,416.380,
2010-01,2527.855,
2010-04,902.998,
2010-07,472.942,
2010-10,-6263.876,
2011-01,-5063.687,
2011-04,-766.129,
2011-07,4488.109,
2011-10,4983.018,
2012-01,861.560,
2012-04,-2025.028,
2012-07,-207.018,
2012-10,3597.716,
2013-01,-2805.354,
2013-04,-1725.301,
2013-07,-2098.409,
2013-10,-2085.523,
2014-01,-312.241,Provisional value
2014-04,-169.683,Provisional value
2014-07,1482.269,Provisional value
2014-10,-411.696,Provisional value
