"",BBFB1.Q.N.DE.E14000.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:23,
1991-01,-166.755,
1991-04,107.726,
1991-07,-37.870,
1991-10,406.136,
1992-01,66.822,
1992-04,7.355,
1992-07,-40.513,
1992-10,-126.547,
1993-01,168.597,
1993-04,314.283,
1993-07,-49.093,
1993-10,-172.805,
1994-01,-171.135,
1994-04,-368.745,
1994-07,-82.245,
1994-10,-157.236,
1995-01,-241.621,
1995-04,-371.534,
1995-07,-191.272,
1995-10,-46.727,
1996-01,-269.430,
1996-04,-177.545,
1996-07,-10.459,
1996-10,-158.699,
1997-01,-361.498,
1997-04,-183.698,
1997-07,-46.832,
1997-10,-185.706,
1998-01,-335.603,
1998-04,-372.453,
1998-07,-215.079,
1998-10,-129.908,
1999-01,-245.898,
1999-04,41.346,
1999-07,-146.303,
1999-10,-120.070,
2000-01,-154.935,
2000-04,-175.609,
2000-07,22.633,
2000-10,-61.541,
2001-01,-43.825,
2001-04,-170.668,
2001-07,11.542,
2001-10,-10.239,
2002-01,-271.996,
2002-04,-16.942,
2002-07,-120.469,
2002-10,703.923,
2003-01,564.333,
2003-04,-27.310,
2003-07,68.782,
2003-10,-109.966,
2004-01,-202.757,
2004-04,-1080.935,
2004-07,-184.603,
2004-10,443.749,
2005-01,588.859,
2005-04,-271.622,
2005-07,-316.379,
2005-10,-1875.861,
2006-01,-1.660,
2006-04,2254.875,
2006-07,-473.629,
2006-10,-393.622,
2007-01,-554.210,
2007-04,-238.470,
2007-07,76.522,
2007-10,-807.511,
2008-01,311.095,
2008-04,-228.287,
2008-07,-44.788,
2008-10,-233.359,
2009-01,137.835,
2009-04,-119.737,
2009-07,-1174.794,
2009-10,-1418.934,
2010-01,-139.883,
2010-04,-218.053,
2010-07,-104.721,
2010-10,-326.214,
2011-01,-256.406,
2011-04,-173.300,
2011-07,-17.282,
2011-10,49.030,
2012-01,26.105,
2012-04,347.820,
2012-07,52.427,
2012-10,495.034,
2013-01,318.402,
2013-04,566.913,
2013-07,-47.359,
2013-10,86.903,
2014-01,49.402,Provisional value
2014-04,97.086,Provisional value
2014-07,-514.579,Provisional value
2014-10,-124.004,Provisional value
