"",BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.O.F4.T._T.N.N,BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.O.F4.T._T.N.N_FLAGS
"",IIP - Other Investment - Loans - Assets - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:25,
1999-10,358988,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,432999,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,500426,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,455052,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,473488,
2004-01,499829,
2004-04,493968,
2004-07,508814,
2004-10,494589,
2005-01,505410,
2005-04,522594,
2005-07,530146,
2005-10,497646,
2006-01,514168,
2006-04,528069,
2006-07,534031,
2006-10,564868,
2007-01,589550,
2007-04,617271,
2007-07,644395,
2007-10,633881,
2008-01,671564,
2008-04,678122,
2008-07,723558,
2008-10,674838,
2009-01,662800,
2009-04,665473,
2009-07,647403,
2009-10,616933,
2010-01,634624,
2010-04,679283,
2010-07,650539,
2010-10,686097,
2011-01,678730,
2011-04,675963,
2011-07,705434,
2011-10,684784,
2012-01,702146,
2012-04,713894,
2012-07,715496,
2012-10,595569,
2013-01,606147,
2013-04,593429,
2013-07,581903,
2013-10,567625,
2014-01,577690,
2014-04,591016,
2014-07,599674,
