"",BBFN1.M.DE.N.1.A.AU.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AU.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Australia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:33,
1994-07,0.616,
1994-08,0.672,
1994-09,0.682,
1994-10,0.727,
1994-11,0.741,
1994-12,0.764,
1995-01,0.733,
1995-02,0.739,
1995-03,0.725,
1995-04,0.753,
1995-05,0.791,
1995-06,0.729,
1995-07,0.832,
1995-08,0.800,
1995-09,0.797,
1995-10,0.784,
1995-11,0.778,
1995-12,0.765,
1996-01,0.718,
1996-02,0.712,
1996-03,0.728,
1996-04,0.738,
1996-05,0.750,
1996-06,0.735,
1996-07,0.727,
1996-08,0.741,
1996-09,0.758,
1996-10,0.770,
1996-11,0.760,
1996-12,0.754,
1997-01,0.762,
1997-02,0.711,
1997-03,0.737,
1997-04,0.701,
1997-05,0.690,
1997-06,0.745,
1997-07,0.738,
1997-08,0.744,
1997-09,0.780,
1997-10,0.775,
1997-11,0.775,
1997-12,0.759,
1998-01,0.739,
1998-02,0.756,
1998-03,0.803,
1998-04,0.811,
1998-05,0.828,
1998-06,0.802,
1998-07,0.814,
1998-08,0.785,
1998-09,0.811,
1998-10,0.801,
1998-11,0.812,
1998-12,0.809,
1999-01,0.793,
1999-02,0.788,
1999-03,0.822,
1999-04,0.852,
1999-05,0.878,
1999-06,0.857,
1999-07,0.908,
1999-08,0.887,
1999-09,0.914,
1999-10,0.966,
1999-11,0.939,
1999-12,0.899,
2000-01,0.897,
2000-02,0.872,
2000-03,0.901,
2000-04,0.944,
2000-05,0.975,
2000-06,0.959,
2000-07,0.971,
2000-08,1.012,
2000-09,1.039,
2000-10,1.078,
2000-11,1.075,
2000-12,1.054,
2001-01,1.045,
2001-02,1.107,
2001-03,1.067,
2001-04,1.105,
2001-05,1.142,
2001-06,1.078,
2001-07,1.069,
2001-08,1.024,
2001-09,1.068,
2001-10,1.095,
2001-11,1.135,
2001-12,1.114,
2002-01,1.092,
2002-02,1.029,
2002-03,1.021,
2002-04,1.051,
2002-05,1.079,
2002-06,1.133,
2002-07,1.179,
2002-08,1.135,
2002-09,1.169,
2002-10,1.160,
2002-11,1.178,
2002-12,1.225,
2003-01,1.198,
2003-02,1.184,
2003-03,1.218,
2003-04,1.220,
2003-05,1.216,
2003-06,1.195,
2003-07,1.231,
2003-08,1.205,
2003-09,1.090,
2003-10,1.104,
2003-11,1.089,
2003-12,1.113,
2004-01,1.079,
2004-02,1.080,
2004-03,1.301,
2004-04,1.248,
2004-05,1.069,
2004-06,1.111,
2004-07,1.082,
2004-08,1.035,
2004-09,1.060,
2004-10,1.059,
2004-11,1.092,
2004-12,1.137,
2005-01,1.103,
2005-02,1.163,
2005-03,1.205,
2005-04,1.188,
2005-05,1.187,
2005-06,1.159,
2005-07,1.176,
2005-08,1.152,
2005-09,1.162,
2005-10,1.111,
2005-11,1.169,
2005-12,1.221,
2006-01,1.180,
2006-02,1.232,
2006-03,1.211,
2006-04,1.208,
2006-05,1.186,
2006-06,1.223,
2006-07,1.198,
2006-08,1.205,
2006-09,1.202,
2006-10,1.181,
2006-11,1.233,
2006-12,1.205,
2007-01,1.171,
2007-02,1.184,
2007-03,1.165,
2007-04,1.163,
2007-05,1.182,
2007-06,1.224,
2007-07,1.240,
2007-08,1.295,
2007-09,1.310,
2007-10,1.313,
2007-11,1.287,
2007-12,1.240,
2008-01,1.211,
2008-02,1.228,
2008-03,1.277,
2008-04,1.367,
2008-05,1.360,
2008-06,1.368,
2008-07,1.364,
2008-08,1.349,
2008-09,1.381,
2008-10,1.351,
2008-11,1.362,
2008-12,1.367,
2009-01,1.232,
2009-02,1.155,
2009-03,1.186,
2009-04,1.152,
2009-05,1.185,
2009-06,1.233,
2009-07,1.172,
2009-08,1.167,
2009-09,1.190,
2009-10,1.226,
2009-11,1.228,
2009-12,1.246,
2010-01,1.131,
2010-02,1.156,
2010-03,1.220,
2010-04,1.251,
2010-05,1.262,
2010-06,1.260,
2010-07,1.296,
2010-08,1.230,
2010-09,1.343,
2010-10,1.347,
2010-11,1.329,
2010-12,1.384,
2011-01,1.311,
2011-02,1.300,
2011-03,1.414,
2011-04,1.479,
2011-05,1.529,
2011-06,1.628,
2011-07,1.519,
2011-08,1.501,
2011-09,1.597,
2011-10,1.527,
2011-11,1.560,
2011-12,1.515,
2012-01,1.428,
2012-02,1.420,
2012-03,1.469,
2012-04,1.563,
2012-05,1.559,
2012-06,1.718,
2012-07,1.635,
2012-08,1.648,
2012-09,1.673,
2012-10,1.694,
2012-11,1.751,
2012-12,1.618,
2013-01,1.459,
2013-02,1.455,
2013-03,1.535,
2013-04,1.635,
2013-05,1.571,
2013-06,1.667,
2013-07,1.615,
2013-08,1.613,
2013-09,1.546,
2013-10,1.540,
2013-11,1.556,
2013-12,1.540,
2014-01,1.420,
2014-02,1.436,
2014-03,1.426,
2014-04,1.443,
2014-05,1.422,
2014-06,1.459,
2014-07,1.473,
2014-08,1.516,
2014-09,1.462,
2014-10,1.515,
2014-11,1.486,
2014-12,1.520,
