"",BBFN1.M.DE.N.1.L.FR.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.FR.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
1988-01,0.387,
1988-02,0.348,
1988-03,0.378,
1988-04,0.378,
1988-05,0.379,
1988-06,0.383,
1988-07,0.422,
1988-08,0.422,
1988-09,0.403,
1988-10,0.417,
1988-11,0.387,
1988-12,0.386,
1989-01,0.386,
1989-02,0.412,
1989-03,0.435,
1989-04,0.373,
1989-05,0.375,
1989-06,0.351,
1989-07,0.351,
1989-08,0.347,
1989-09,0.253,
1989-10,0.260,
1989-11,0.355,
1989-12,0.363,
1990-01,0.333,
1990-02,0.332,
1990-03,0.334,
1990-04,0.332,
1990-05,0.332,
1990-06,0.332,
1990-07,0.356,
1990-08,0.350,
1990-09,0.311,
1990-10,0.311,
1990-11,0.311,
1990-12,0.286,
1991-01,0.286,
1991-02,0.286,
1991-03,0.286,
1991-04,0.429,
1991-05,0.431,
1991-06,0.428,
1991-07,0.610,
1991-08,0.482,
1991-09,0.482,
1991-10,0.476,
1991-11,0.500,
1991-12,0.334,
1992-01,0.442,
1992-02,0.442,
1992-03,0.513,
1992-04,0.513,
1992-05,0.438,
1992-06,0.437,
1992-07,0.443,
1992-08,0.449,
1992-09,0.593,
1992-10,0.567,
1992-11,0.616,
1992-12,0.743,
1993-01,0.855,
1993-02,0.936,
1993-03,0.963,
1993-04,0.886,
1993-05,0.962,
1993-06,0.975,
1993-07,0.879,
1993-08,0.910,
1993-09,0.832,
1993-10,0.824,
1993-11,0.815,
1993-12,1.291,
1994-01,1.303,
1994-02,1.325,
1994-03,1.310,
1994-04,1.329,
1994-05,1.324,
1994-06,1.323,
1994-07,1.301,
1994-08,1.296,
1994-09,1.269,
1994-10,1.273,
1994-11,1.253,
1994-12,1.232,
1995-01,1.085,
1995-02,1.076,
1995-03,1.070,
1995-04,1.070,
1995-05,1.080,
1995-06,1.003,
1995-07,1.047,
1995-08,1.061,
1995-09,1.023,
1995-10,1.025,
1995-11,1.039,
1995-12,1.015,
1996-01,0.995,
1996-02,1.025,
1996-03,1.053,
1996-04,1.072,
1996-05,1.080,
1996-06,1.078,
1996-07,1.074,
1996-08,1.082,
1996-09,1.094,
1996-10,1.094,
1996-11,1.079,
1996-12,1.079,
1997-01,1.181,
1997-02,1.176,
1997-03,1.169,
1997-04,1.167,
1997-05,1.199,
1997-06,1.214,
1997-07,1.112,
1997-08,1.112,
1997-09,1.150,
1997-10,1.159,
1997-11,1.169,
1997-12,1.166,
1998-01,1.173,
1998-02,0.722,
1998-03,0.728,
1998-04,0.728,
1998-05,0.684,
1998-06,0.709,
1998-07,0.677,
1998-08,0.688,
1998-09,0.702,
1998-10,0.688,
1998-11,0.680,
1998-12,0.679,
1999-01,0.660,
1999-02,0.637,
1999-03,0.618,
1999-04,0.588,
1999-05,0.605,
1999-06,0.607,
1999-07,0.607,
1999-08,0.626,
1999-09,0.629,
1999-10,0.655,
1999-11,0.663,
1999-12,0.724,
2000-01,0.738,
2000-02,0.736,
2000-03,0.723,
2000-04,0.736,
2000-05,0.749,
2000-06,0.772,
2000-07,0.772,
2000-08,0.780,
2000-09,0.797,
2000-10,0.759,
2000-11,0.727,
2000-12,0.873,
2001-01,0.869,
2001-02,0.786,
2001-03,0.855,
2001-04,0.927,
2001-05,0.973,
2001-06,0.975,
2001-07,1.014,
2001-08,1.431,
2001-09,1.504,
2001-10,1.484,
2001-11,1.460,
2001-12,1.706,
2002-01,1.786,
2002-02,1.598,
2002-03,1.828,
2002-04,1.918,
2002-05,1.902,
2002-06,1.943,
2002-07,2.110,
2002-08,2.237,
2002-09,2.231,
2002-10,2.285,
2002-11,2.260,
2002-12,2.238,
2003-01,2.222,
2003-02,2.214,
2003-03,1.182,
2003-04,1.247,
2003-05,1.323,
2003-06,1.319,
2003-07,1.393,
2003-08,1.359,
2003-09,1.362,
2003-10,1.463,
2003-11,1.578,
2003-12,1.553,
2004-01,1.600,
2004-02,1.648,
2004-03,1.746,
2004-04,1.790,
2004-05,1.773,
2004-06,1.904,
2004-07,1.788,
2004-08,1.690,
2004-09,0.806,
2004-10,0.725,
2004-11,0.712,
2004-12,1.578,
2005-01,1.682,
2005-02,1.737,
2005-03,1.873,
2005-04,2.014,
2005-05,2.119,
2005-06,2.110,
2005-07,2.143,
2005-08,2.155,
2005-09,2.232,
2005-10,2.289,
2005-11,2.254,
2005-12,2.556,
2006-01,2.796,
2006-02,3.014,
2006-03,3.198,
2006-04,3.357,
2006-05,3.775,
2006-06,4.357,
2006-07,4.348,
2006-08,4.409,
2006-09,4.619,
2006-10,4.650,
2006-11,4.690,
2006-12,3.977,
2007-01,3.976,
2007-02,4.048,
2007-03,4.027,
2007-04,4.774,
2007-05,4.792,
2007-06,4.725,
2007-07,4.777,
2007-08,5.643,
2007-09,5.853,
2007-10,5.659,
2007-11,5.568,
2007-12,5.623,
2008-01,5.632,
2008-02,7.143,
2008-03,7.565,
2008-04,7.773,
2008-05,7.763,
2008-06,7.941,
2008-07,7.726,
2008-08,7.758,
2008-09,7.841,
2008-10,7.869,
2008-11,8.099,
2008-12,13.846,
2009-01,13.516,
2009-02,13.441,
2009-03,12.958,
2009-04,12.974,
2009-05,13.151,
2009-06,13.146,
2009-07,13.322,
2009-08,15.583,
2009-09,16.042,
2009-10,15.489,
2009-11,15.525,
2009-12,14.876,
2010-01,15.013,
2010-02,15.021,
2010-03,15.096,
2010-04,15.090,
2010-05,15.090,
2010-06,15.175,
2010-07,15.448,
2010-08,15.454,
2010-09,15.503,
2010-10,15.465,
2010-11,15.457,
2010-12,15.077,
2011-01,15.033,
2011-02,15.807,
2011-03,15.293,
2011-04,15.287,
2011-05,15.364,
2011-06,15.117,
2011-07,14.707,
2011-08,14.935,
2011-09,14.847,
2011-10,14.599,
2011-11,14.628,
2011-12,14.507,
2012-01,14.355,
2012-02,14.160,
2012-03,13.535,
2012-04,13.227,
2012-05,13.276,
2012-06,13.276,
2012-07,12.994,
2012-08,13.197,
2012-09,13.050,
2012-10,12.946,
2012-11,12.692,
2012-12,12.858,
2013-01,12.905,
2013-02,12.945,
2013-03,12.778,
2013-04,12.209,
2013-05,12.230,
2013-06,11.971,
2013-07,12.167,
2013-08,12.181,
2013-09,12.230,
2013-10,12.088,
2013-11,11.928,
2013-12,9.830,
2014-01,9.693,
2014-02,9.616,
2014-03,9.711,
2014-04,9.228,
2014-05,9.331,
2014-06,9.307,
2014-07,9.261,
2014-08,9.327,
2014-09,9.569,
2014-10,9.341,
2014-11,9.280,
2014-12,8.902,
