"",BBK01.OEYB06O,BBK01.OEYB06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:40,
2002-01,2.309,
2002-04,2.045,
2002-07,2.303,
2002-10,2.289,
2003-01,4.818,
2003-04,2.266,
2003-07,2.197,
2003-10,2.504,
2004-01,2.295,
2004-04,2.202,
2004-07,1.865,
2004-10,2.348,
2005-01,1.989,
2005-04,2.020,
2005-07,1.860,
2005-10,1.762,
2006-01,2.590,
2006-04,2.107,
2006-07,2.367,
2006-10,2.038,
2007-01,2.268,
2007-04,2.234,
2007-07,3.275,
2007-10,2.546,
2008-01,2.806,
2008-04,2.808,
2008-07,2.119,
2008-10,2.417,
2009-01,1.803,
2009-04,1.557,
2009-07,1.353,
2009-10,2.149,
2010-01,1.607,
2010-04,1.853,
2010-07,2.277,
2010-10,2.253,
2011-01,1.954,
2011-04,1.779,
2011-07,1.596,
2011-10,1.447,
2012-01,1.526,
2012-04,1.628,
2012-07,1.559,
2012-10,1.867,
2013-01,1.538,
2013-04,1.400,
2013-07,2.333,
2013-10,2.059,
2014-01,2.178,
2014-04,2.193,
2014-07,1.909,
