"",BBK01.OEAB22P,BBK01.OEAB22P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:58,
2002-01,0.459,
2002-04,0.495,
2002-07,0.444,
2002-10,0.251,
2003-01,0.317,
2003-04,0.413,
2003-07,0.248,
2003-10,0.286,
2004-01,0.326,
2004-04,0.315,
2004-07,0.335,
2004-10,0.369,
2005-01,0.373,
2005-04,0.437,
2005-07,0.529,
2005-10,0.505,
2006-01,0.604,
2006-04,0.606,
2006-07,0.416,
2006-10,0.525,
2007-01,0.420,
2007-04,0.401,
2007-07,0.417,
2007-10,0.453,
2008-01,0.518,
2008-04,0.560,
2008-07,0.478,
2008-10,0.465,
2009-01,0.520,
2009-04,0.514,
2009-07,0.562,
2009-10,0.716,
2010-01,0.729,
2010-04,0.782,
2010-07,0.672,
2010-10,0.922,
2011-01,0.968,
2011-04,1.029,
2011-07,0.698,
2011-10,0.911,
2012-01,0.641,
2012-04,0.551,
2012-07,0.486,
2012-10,0.616,
2013-01,0.538,
2013-04,0.734,
2013-07,0.878,
2013-10,0.737,
2014-01,0.793,
2014-04,0.929,
2014-07,0.830,
