"",BBK01.OELL02G,BBK01.OELL02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:45,
2002-01,14.540,
2002-04,14.909,
2002-07,14.546,
2002-10,15.159,
2003-01,15.396,
2003-04,16.005,
2003-07,15.934,
2003-10,16.307,
2004-01,16.487,
2004-04,17.252,
2004-07,17.070,
2004-10,16.575,
2005-01,16.948,
2005-04,17.615,
2005-07,17.595,
2005-10,17.634,
2006-01,17.952,
2006-04,18.361,
2006-07,18.406,
2006-10,18.455,
2007-01,18.974,
2007-04,19.681,
2007-07,19.698,
2007-10,20.445,
2008-01,20.555,
2008-04,21.022,
2008-07,20.640,
2008-10,21.807,
2009-01,23.956,
2009-04,26.501,
2009-07,27.388,
2009-10,27.915,
2010-01,28.863,
2010-04,30.248,
2010-07,30.029,
2010-10,30.430,
2011-01,29.880,
2011-04,30.496,
2011-07,30.494,
2011-10,31.480,
2012-01,31.801,
2012-04,33.010,
2012-07,33.498,
2012-10,34.876,
2013-01,35.198,
2013-04,36.837,
2013-07,37.028,
2013-10,38.391,
2014-01,38.283,
2014-04,39.750,
2014-07,39.663,
