"",BBK01.OEHJ05H,BBK01.OEHJ05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:38,
2002-01,0.209,
2002-04,0.202,
2002-07,0.185,
2002-10,0.183,
2003-01,0.215,
2003-04,0.209,
2003-07,0.206,
2003-10,0.188,
2004-01,0.177,
2004-04,0.169,
2004-07,0.172,
2004-10,0.167,
2005-01,0.170,
2005-04,0.166,
2005-07,0.173,
2005-10,0.169,
2006-01,0.163,
2006-04,0.154,
2006-07,0.133,
2006-10,0.157,
2007-01,0.153,
2007-04,0.144,
2007-07,0.144,
2007-10,0.141,
2008-01,0.150,
2008-04,0.145,
2008-07,0.147,
2008-10,0.151,
2009-01,0.149,
2009-04,0.148,
2009-07,0.147,
2009-10,0.142,
2010-01,0.141,
2010-04,0.138,
2010-07,0.137,
2010-10,0.135,
2011-01,0.138,
2011-04,0.134,
2011-07,0.125,
2011-10,0.125,
2012-01,0.123,
2012-04,0.122,
2012-07,0.124,
2012-10,0.120,
2013-01,0.113,
2013-04,0.110,
2013-07,0.102,
2013-10,0.093,
2014-01,0.092,
2014-04,0.083,
2014-07,0.084,
